START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,START_POS_8 POSITION,START_POS_8 LAP TIME,START_POS_8 ELAPSED TIME,season,competition,event,gender,round,race
4,10.45,10.45,5,10.59,10.59,1,10.13,10.13,3,10.28,10.28,8,11.16,11.16,7,10.96,10.96,6,10.74,10.74,2,10.23,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),w,Heats,1
4,13.50,23.95,5,13.49,24.08,3,13.65,23.78,2,13.47,23.75,8,13.15,24.31,5,13.12,24.08,7,13.46,24.20,1,13.37,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),w,Heats,1
7,11.92,35.87,4,11.48,35.56,3,11.72,35.50,5,11.94,35.69,8,11.77,36.08,1,11.19,35.27,6,11.59,35.79,2,11.79,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),w,Heats,1
7,10.87,46.74,1,10.64,46.20,3,10.80,46.30,5,10.84,46.53,8,10.73,46.81,2,11.02,46.29,6,10.87,46.66,4,11.02,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),w,Heats,1
7,10.38,57.12,2,10.47,56.67,1,10.28,56.58,5,10.43,56.96,6,10.24,57.05,3,10.48,56.77,8,10.59,57.25,4,10.45,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),w,Heats,1
7,10.73,1:07.85,2,10.62,1:07.29,1,10.60,1:07.18,5,10.68,1:07.64,6,10.70,1:07.75,3,10.66,1:07.43,8,10.75,1:08.00,4,10.67,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),w,Heats,1
6,10.41,1:18.26,2,10.72,1:18.01,1,10.73,1:17.91,5,10.57,1:18.21,7,10.56,1:18.31,4,10.68,1:18.11,8,10.61,1:18.61,3,10.53,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),w,Heats,1
5,10.24,1:28.50,7,10.54,1:28.55,2,10.34,1:28.25,6,10.31,1:28.52,4,10.18,1:28.49,1,10.11,1:28.22,8,10.36,1:28.97,3,10.32,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),w,Heats,1
7,20.67,1:49.17,5,10.83,1:39.38,2,10.56,1:38.81,8,21.77,1:50.29,3,10.40,1:38.89,1,10.45,1:38.67,6,10.67,1:39.64,4,10.61,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),w,Heats,1
8,25.86,2:15.03,4,10.55,1:49.93,6,21.09,1:59.90,7,20.02,2:10.31,3,10.84,1:49.73,1,10.71,1:49.38,5,10.83,1:50.47,2,10.58,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),w,Heats,1
8,18.56,2:33.59,4,10.53,2:00.46,7,23.03,2:22.93,6,12.36,2:22.67,3,10.61,2:00.34,1,10.68,2:00.06,5,11.35,2:01.82,2,10.59,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),w,Heats,1
8,15.32,2:48.91,4,10.31,2:10.77,7,14.34,2:37.27,6,10.71,2:33.38,3,10.30,2:10.64,1,10.32,2:10.38,5,11.76,2:13.58,2,10.36,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),w,Heats,1
8,13.98,3:02.89,4,10.05,2:20.82,7,12.82,2:50.09,6,11.03,2:44.41,3,10.07,2:20.71,1,10.20,2:20.58,5,12.18,2:25.76,2,10.16,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),w,Heats,1
8,14.04,3:16.93,3,9.95,2:30.77,7,12.96,3:03.05,6,10.86,2:55.27,1,9.84,2:30.55,2,10.12,2:30.70,5,12.32,2:38.08,4,10.40,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(1),w,Heats,1
