START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,season,competition,event,gender,round,race
2,12.56,12.56,1,12.45,12.45,3,12.66,12.66,4,12.86,12.86,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),3000mRelay,w,Heats,2
2,9.29,21.85,1,9.20,21.65,3,9.37,22.03,4,9.33,22.19,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),3000mRelay,w,Heats,2
2,9.16,31.01,1,9.13,30.78,3,9.06,31.09,4,9.25,31.44,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),3000mRelay,w,Heats,2
2,8.97,39.98,1,9.11,39.89,3,8.96,40.05,4,9.09,40.53,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),3000mRelay,w,Heats,2
2,9.21,49.19,1,9.17,49.06,3,9.22,49.27,4,9.05,49.58,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),3000mRelay,w,Heats,2
2,9.13,58.32,1,9.09,58.15,3,9.14,58.41,4,9.07,58.65,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),3000mRelay,w,Heats,2
2,9.19,1:07.51,1,9.25,1:07.40,3,9.16,1:07.57,4,9.12,1:07.77,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),3000mRelay,w,Heats,2
3,9.34,1:16.85,1,9.16,1:16.56,2,9.12,1:16.69,4,9.22,1:16.99,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),3000mRelay,w,Heats,2
3,9.14,1:25.99,1,9.07,1:25.63,2,9.13,1:25.82,4,9.47,1:26.46,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),3000mRelay,w,Heats,2
3,9.09,1:35.08,1,9.20,1:34.83,2,9.05,1:34.87,4,9.27,1:35.73,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),3000mRelay,w,Heats,2
3,9.16,1:44.24,2,9.28,1:44.11,1,8.88,1:43.75,4,8.98,1:44.71,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),3000mRelay,w,Heats,2
3,9.15,1:53.39,2,9.13,1:53.24,1,9.42,1:53.17,4,9.58,1:54.29,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),3000mRelay,w,Heats,2
3,9.15,2:02.54,2,9.17,2:02.41,1,9.17,2:02.34,4,9.17,2:03.46,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),3000mRelay,w,Heats,2
3,9.26,2:11.80,2,9.21,2:11.62,1,8.92,2:11.26,4,9.15,2:12.61,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),3000mRelay,w,Heats,2
3,9.19,2:20.99,2,9.24,2:20.86,1,9.50,2:20.76,4,9.26,2:21.87,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),3000mRelay,w,Heats,2
3,9.15,2:30.14,2,9.20,2:30.06,1,9.24,2:30.00,4,9.37,2:31.24,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),3000mRelay,w,Heats,2
3,9.27,2:39.41,2,9.25,2:39.31,1,9.18,2:39.18,4,9.43,2:40.67,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),3000mRelay,w,Heats,2
3,9.24,2:48.65,2,9.25,2:48.56,1,9.31,2:48.49,4,9.37,2:50.04,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),3000mRelay,w,Heats,2
3,9.38,2:58.03,1,9.19,2:57.75,2,9.36,2:57.85,4,9.23,2:59.27,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),3000mRelay,w,Heats,2
3,9.38,3:07.41,1,9.20,3:06.95,2,9.24,3:07.09,4,9.19,3:08.46,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),3000mRelay,w,Heats,2
3,9.23,3:16.64,1,9.11,3:16.06,2,9.20,3:16.29,4,9.47,3:17.93,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),3000mRelay,w,Heats,2
3,9.12,3:25.76,1,9.25,3:25.31,2,9.29,3:25.58,4,9.68,3:27.61,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),3000mRelay,w,Heats,2
3,9.37,3:35.13,2,9.47,3:34.78,1,9.17,3:34.75,4,9.69,3:37.30,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),3000mRelay,w,Heats,2
3,9.45,3:44.58,2,9.68,3:44.46,1,9.42,3:44.17,4,9.52,3:46.82,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),3000mRelay,w,Heats,2
3,9.53,3:54.11,2,9.50,3:53.96,1,9.36,3:53.53,4,9.50,3:56.32,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),3000mRelay,w,Heats,2
3,9.42,4:03.53,2,9.25,4:03.21,1,9.18,4:02.71,4,9.49,4:05.81,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),3000mRelay,w,Heats,2
3,9.38,4:12.91,2,9.33,4:12.54,1,9.10,4:11.81,4,9.76,4:15.57,2015-2016,ISU World Cup 2015/16 - Toronto (CAN),3000mRelay,w,Heats,2
