START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
7,9.86,9.86,6,9.69,9.69,5,9.57,9.57,2,9.26,9.26,4,9.39,9.39,1,9.19,9.19,3,9.38,9.38,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,w,Semifinals,2
7,13.22,23.08,6,13.23,22.92,5,13.21,22.78,3,13.28,22.54,4,13.27,22.66,2,13.26,22.45,1,12.86,22.24,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,w,Semifinals,2
1,11.57,34.65,7,12.36,35.28,6,12.42,35.20,3,12.31,34.85,5,12.40,35.06,2,12.37,34.82,4,12.69,34.93,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,w,Semifinals,2
1,10.73,45.38,7,10.92,46.20,6,10.87,46.07,3,10.81,45.66,5,10.87,45.93,2,10.72,45.54,4,10.91,45.84,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,w,Semifinals,2
1,11.00,56.38,7,10.79,56.99,6,10.78,56.85,3,10.95,56.61,4,10.74,56.67,2,10.99,56.53,5,10.89,56.73,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,w,Semifinals,2
2,11.30,1:07.68,7,11.36,1:08.35,6,11.40,1:08.25,3,11.23,1:07.84,5,11.43,1:08.10,1,11.09,1:07.62,4,11.25,1:07.98,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,w,Semifinals,2
2,10.88,1:18.56,7,10.80,1:19.15,6,10.79,1:19.04,3,10.74,1:18.58,5,10.81,1:18.91,1,10.92,1:18.54,4,10.80,1:18.78,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,w,Semifinals,2
2,10.09,1:28.65,6,9.97,1:29.12,7,10.09,1:29.13,1,10.06,1:28.64,5,10.09,1:29.00,3,10.24,1:28.78,4,10.12,1:28.90,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,w,Semifinals,2
4,10.23,1:38.88,6,9.91,1:39.03,7,10.04,1:39.17,1,10.03,1:38.67,4,9.88,1:38.88,3,10.00,1:38.78,2,9.80,1:38.70,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,w,Semifinals,2
7,9.82,1:48.70,5,9.47,1:48.50,6,9.51,1:48.68,2,9.54,1:48.21,4,9.53,1:48.41,3,9.50,1:48.28,1,9.46,1:48.16,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,w,Semifinals,2
7,9.50,1:58.20,5,9.41,1:57.91,6,9.35,1:58.03,3,9.51,1:57.72,4,9.42,1:57.83,2,9.35,1:57.63,1,9.35,1:57.51,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,w,Semifinals,2
7,9.47,2:07.67,5,9.45,2:07.36,6,9.44,2:07.47,3,9.52,2:07.24,4,9.46,2:07.29,2,9.47,2:07.10,1,9.47,2:06.98,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,w,Semifinals,2
7,9.45,2:17.12,2,9.09,2:16.45,6,9.44,2:16.91,5,9.53,2:16.77,3,9.24,2:16.53,4,9.46,2:16.56,1,9.40,2:16.38,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,w,Semifinals,2
7,9.88,2:26.977,1,9.25,2:25.70,5,9.44,2:26.335,6,9.73,2:26.482,3,9.51,2:26.04,4,9.69,2:26.25,2,9.47,2:25.85,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,w,Semifinals,2
