START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,season,competition,event,gender,round,race
2,15.13,,1,14.95,14.95,,,,,,,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
4,11.80,,3,11.80,26.75,1,,14.74,2,,14.83,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
4,10.42,,3,10.55,37.30,1,22.45,37.19,2,22.44,37.27,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
4,10.02,,1,9.78,47.08,2,9.97,47.16,3,9.96,47.23,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
4,9.83,,1,9.85,56.93,2,9.87,57.03,3,9.88,57.11,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
4,10.18,,1,10.09,1:07.02,2,10.11,1:07.14,3,10.13,1:07.24,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
4,9.55,,3,9.79,1:16.81,1,9.56,1:16.70,2,9.51,1:16.75,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
3,9.51,,4,10.06,1:26.87,1,9.52,1:26.22,2,9.57,1:26.32,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
3,9.63,,4,9.30,1:36.17,1,9.66,1:35.88,2,9.64,1:35.96,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
3,9.72,,4,9.72,1:45.89,1,9.68,1:45.56,2,9.70,1:45.66,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
3,9.56,,4,9.52,1:55.41,1,9.58,1:55.14,2,9.58,1:55.24,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
4,9.21,,1,8.82,2:04.23,2,9.23,2:04.37,3,9.22,2:04.46,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
4,9.30,,2,9.31,2:13.54,1,9.14,2:13.51,3,9.18,2:13.64,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
4,9.05,,2,9.07,2:22.61,1,9.01,2:22.52,3,9.10,2:22.74,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
4,9.08,,2,9.22,2:31.83,1,9.22,2:31.74,3,9.13,2:31.87,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
4,9.17,,2,9.05,2:40.88,1,9.09,2:40.83,3,9.12,2:40.99,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
4,9.12,,3,9.29,2:50.17,1,9.03,2:49.86,2,8.99,2:49.98,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
4,9.15,,3,9.16,2:59.33,1,9.31,2:59.17,2,9.27,2:59.25,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
4,9.46,,3,9.44,3:08.77,1,9.40,3:08.57,2,9.40,3:08.65,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
4,9.26,,3,9.31,3:18.08,1,9.26,3:17.83,2,9.26,3:17.91,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
4,9.31,,3,9.26,3:27.34,1,9.34,3:27.17,2,9.32,3:27.23,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
4,9.20,,3,9.21,3:36.55,1,9.20,3:36.37,2,9.23,3:36.46,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
4,9.15,,3,9.08,3:45.63,1,9.06,3:45.43,2,9.14,3:45.60,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
4,9.01,,3,9.10,3:54.73,1,9.08,3:54.51,2,8.99,3:54.59,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
4,9.35,,3,9.31,4:04.04,1,9.27,4:03.78,2,9.29,4:03.88,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
4,8.83,,3,8.88,4:12.92,1,8.83,4:12.61,2,8.74,4:12.62,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
4,8.67,,3,8.68,4:21.60,1,8.83,4:21.44,2,8.90,4:21.52,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
4,8.76,,3,8.75,4:30.35,1,8.62,4:30.06,2,8.62,4:30.14,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
4,8.64,,3,8.62,4:38.97,1,8.49,4:38.55,2,8.57,4:38.71,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
4,8.63,,3,8.52,4:47.49,1,8.75,4:47.30,2,8.74,4:47.45,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
4,8.77,,3,8.90,4:56.39,1,8.92,4:56.22,2,8.85,4:56.30,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
4,8.81,,3,8.82,5:05.21,1,8.78,5:05.00,2,8.81,5:05.11,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
2,8.79,,2,8.86,5:14.07,1,8.78,5:13.78,4,9.00,5:14.11,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
4,9.17,,3,8.99,5:23.06,1,8.59,5:22.37,2,8.69,5:22.80,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
3,8.63,,2,8.67,5:31.73,1,8.50,5:30.87,4,15.81,5:38.61,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
3,8.51,,2,8.55,5:40.28,1,8.65,5:39.52,4,8.48,5:47.09,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
3,8.46,,2,8.52,5:48.80,1,8.58,5:48.10,4,8.81,5:55.90,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
2,8.99,,3,9.19,5:57.99,1,8.49,5:56.59,4,8.76,6:04.66,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
2,8.43,,3,8.48,6:06.47,1,8.55,6:05.14,4,8.69,6:13.35,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
2,8.54,,3,8.73,6:15.20,1,8.56,6:13.70,4,8.63,6:21.98,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
2,8.76,,3,8.85,6:24.05,1,8.72,6:22.42,4,8.87,6:30.85,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
2,8.74,,3,8.73,6:32.78,1,8.72,6:31.14,4,9.33,6:40.18,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
2,8.48,,3,8.62,6:41.40,1,8.82,6:39.96,4,8.82,6:49.00,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
2,8.46,,3,8.49,6:49.89,1,8.69,6:48.65,4,8.75,6:57.75,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
2,8.50,,3,8.69,6:58.58,1,8.80,6:57.45,4,9.07,7:06.82,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),5000mRelay,m,Semifinals,2
