START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
2,10.24,,3,10.42,10.42,4,10.60,10.60,6,10.85,10.85,1,10.13,,5,10.71,10.71,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Rep.Semifinals,2
2,15.97,,3,15.96,26.38,4,15.95,26.55,6,15.93,26.78,1,15.99,,5,15.96,26.67,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Rep.Semifinals,2
2,15.31,,3,15.33,41.71,4,15.33,41.88,6,15.36,42.14,1,15.31,,5,15.32,41.99,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Rep.Semifinals,2
2,14.91,,3,14.92,56.63,5,15.05,56.93,4,14.63,56.77,1,14.89,,6,15.08,57.07,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Rep.Semifinals,2
2,13.76,,4,13.83,1:10.46,5,13.64,1:10.57,3,13.55,1:10.32,1,13.78,,6,13.59,1:10.66,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Rep.Semifinals,2
2,12.32,,4,12.18,1:22.64,5,12.27,1:22.84,1,12.13,1:22.45,3,12.50,,6,12.28,1:22.94,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Rep.Semifinals,2
2,11.13,,3,11.04,1:33.68,5,11.12,1:33.96,1,11.10,1:33.55,4,11.12,,6,11.11,1:34.05,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Rep.Semifinals,2
6,32.60,,3,10.73,1:44.41,4,10.59,1:44.55,1,10.66,1:44.21,2,10.59,,5,10.61,1:44.66,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Rep.Semifinals,2
6,16.91,,3,9.96,1:54.37,4,10.05,1:54.60,2,10.07,1:54.28,1,9.79,,5,10.02,1:54.68,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Rep.Semifinals,2
6,9.79,,3,9.37,2:03.74,4,9.29,2:03.89,2,9.32,2:03.60,1,9.49,,5,9.30,2:03.98,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Rep.Semifinals,2
6,9.49,,3,9.12,2:12.86,4,9.11,2:13.00,1,9.03,2:12.63,2,9.19,,5,9.10,2:13.08,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Rep.Semifinals,2
6,9.63,,4,9.29,2:22.15,2,9.07,2:22.07,1,8.94,2:21.57,5,9.41,,3,9.05,2:22.13,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Rep.Semifinals,2
6,9.93,,4,9.26,2:31.41,2,9.01,2:31.08,1,9.08,2:30.65,5,10.17,,3,9.11,2:31.24,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Rep.Semifinals,2
6,13.92,,4,9.11,2:40.512,2,8.79,2:39.859,1,9.15,2:39.80,5,10.37,,3,9.06,2:40.292,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Rep.Semifinals,2
