START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
6,9.99,9.99,1,9.57,9.57,3,9.64,9.64,5,9.82,9.82,2,9.62,9.62,4,9.77,9.77,2016-2017,ISU World Short Track Championships 2017,1500m,m,Heats,4
6,12.87,22.86,4,13.02,22.59,3,12.84,22.48,5,12.95,22.77,2,12.73,22.35,1,12.43,22.20,2016-2017,ISU World Short Track Championships 2017,1500m,m,Heats,4
5,12.02,34.88,,,,3,11.99,34.47,4,11.98,34.75,2,12.09,34.44,1,12.09,34.29,2016-2017,ISU World Short Track Championships 2017,1500m,m,Heats,4
5,11.92,46.80,4,,46.52,1,11.59,46.06,,,,3,11.92,46.36,2,11.93,46.22,2016-2017,ISU World Short Track Championships 2017,1500m,m,Heats,4
6,10.72,57.52,4,10.82,57.34,1,10.92,56.98,5,,57.47,3,10.85,57.21,2,10.85,57.07,2016-2017,ISU World Short Track Championships 2017,1500m,m,Heats,4
6,10.83,1:08.35,4,10.71,1:08.05,1,10.80,1:07.78,5,10.76,1:08.23,2,10.69,1:07.90,2,10.83,1:07.90,2016-2017,ISU World Short Track Championships 2017,1500m,m,Heats,4
5,9.55,1:17.90,3,9.53,1:17.58,1,9.60,1:17.38,,,,2,9.59,1:17.49,4,9.78,1:17.68,2016-2017,ISU World Short Track Championships 2017,1500m,m,Heats,4
6,9.73,1:27.63,3,9.73,1:27.31,1,9.74,1:27.12,5,,1:27.47,2,9.74,1:27.23,4,9.77,1:27.45,2016-2017,ISU World Short Track Championships 2017,1500m,m,Heats,4
5,9.46,1:37.09,4,9.57,1:36.88,1,9.42,1:36.54,,,,2,9.45,1:36.68,3,9.32,1:36.77,2016-2017,ISU World Short Track Championships 2017,1500m,m,Heats,4
6,9.25,1:46.34,3,9.04,1:45.92,2,9.26,1:45.80,5,,1:46.17,1,8.97,1:45.65,4,9.27,1:46.04,2016-2017,ISU World Short Track Championships 2017,1500m,m,Heats,4
3,9.39,1:55.73,2,8.98,1:54.90,,,,,,,1,9.03,1:54.68,,,,2016-2017,ISU World Short Track Championships 2017,1500m,m,Heats,4
5,9.67,2:05.40,,,,2,,2:03.74,3,,2:04.01,1,8.96,2:03.64,4,,2:04.68,2016-2017,ISU World Short Track Championships 2017,1500m,m,Heats,4
5,10.18,2:15.58,2,,2:12.90,,,,3,9.01,2:13.02,1,8.99,2:12.63,4,9.79,2:14.47,2016-2017,ISU World Short Track Championships 2017,1500m,m,Heats,4
6,10.59,2:26.168,3,9.28,2:22.177,2,,2:21.845,4,9.21,2:22.23,1,9.13,2:21.746,5,10.43,2:24.882,2016-2017,ISU World Short Track Championships 2017,1500m,m,Heats,4
