START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
2,8.48,8.48,1,8.34,8.34,4,8.80,8.80,5,8.98,8.98,3,8.65,,6,9.42,9.42,2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1500m,w,Heats,7
3,11.97,20.45,1,11.96,20.30,4,11.70,20.50,5,11.61,20.59,2,11.79,,6,11.31,20.73,2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1500m,w,Heats,7
2,12.94,33.39,1,12.96,33.26,4,13.05,33.55,5,13.03,33.62,3,12.98,,6,12.94,33.67,2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1500m,w,Heats,7
2,13.60,46.99,1,13.65,46.91,4,13.65,47.20,6,13.73,47.35,3,13.62,,5,13.64,47.31,2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1500m,w,Heats,7
2,13.72,1:00.71,1,13.67,1:00.58,4,13.90,1:01.10,6,13.96,1:01.31,3,13.81,,5,13.90,1:01.21,2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1500m,w,Heats,7
4,12.70,1:13.41,2,12.66,1:13.24,5,12.34,1:13.44,6,12.26,1:13.57,3,12.51,,1,12.01,1:13.22,2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1500m,w,Heats,7
5,10.78,1:24.19,2,10.73,1:23.97,4,10.66,1:24.10,6,10.71,1:24.28,3,10.64,,1,10.64,1:23.86,2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1500m,w,Heats,7
5,10.81,1:35.00,3,10.72,1:34.69,2,10.54,1:34.64,6,10.78,1:35.06,4,10.80,,1,10.74,1:34.60,2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1500m,w,Heats,7
5,9.87,1:44.87,3,9.94,1:44.63,1,9.75,1:44.39,6,10.06,1:45.12,4,9.84,,2,9.91,1:44.51,2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1500m,w,Heats,7
3,10.80,1:55.67,5,20.92,2:05.55,1,9.98,1:54.37,4,10.56,1:55.68,2,10.53,,6,31.20,2:15.71,2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1500m,w,Heats,7
4,11.12,2:06.79,5,15.00,2:20.55,1,10.01,2:04.38,3,10.48,2:06.16,2,9.96,,6,17.02,2:32.73,2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1500m,w,Heats,7
4,11.22,2:18.01,5,13.56,2:34.11,1,10.26,2:14.64,3,10.54,2:16.70,2,9.97,,6,14.01,2:46.74,2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1500m,w,Heats,7
4,11.58,2:29.59,5,13.51,2:47.62,1,10.46,2:25.10,3,11.04,2:27.74,2,10.27,,6,12.63,2:59.37,2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1500m,w,Heats,7
3,11.85,2:41.440,5,12.47,3:00.09,1,10.41,2:35.51,3,11.39,2:39.13,2,10.58,,5,12.15,3:11.529,2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1500m,w,Heats,7
