START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
2,10.65,10.65,1,10.59,10.59,5,10.77,10.77,6,10.91,10.91,7,10.94,10.94,3,10.66,10.66,4,10.70,10.70,2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),1500m,w,Semifinals,2
5,13.70,24.35,2,13.27,23.86,4,13.42,24.19,6,13.56,24.47,7,13.61,24.55,3,13.37,24.03,1,13.15,23.85,2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),1500m,w,Semifinals,2
5,11.92,36.27,1,12.02,35.88,4,12.01,36.20,6,11.88,36.35,7,11.84,36.39,2,11.94,35.97,3,12.21,36.06,2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),1500m,w,Semifinals,2
6,12.25,48.52,1,12.16,48.04,5,12.25,48.45,7,12.24,48.59,4,11.96,48.35,2,12.18,48.15,3,12.19,48.25,2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),1500m,w,Semifinals,2
2,10.64,59.16,3,11.15,59.19,7,11.12,59.57,5,10.82,59.41,6,11.08,59.43,4,11.16,59.31,1,10.79,59.04,2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),1500m,w,Semifinals,2
2,10.27,1:09.43,3,10.28,1:09.47,4,9.97,1:09.54,7,10.34,1:09.75,5,10.22,1:09.65,6,10.43,1:09.74,1,10.32,1:09.36,2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),1500m,w,Semifinals,2
6,10.11,1:19.54,2,9.80,1:19.27,1,9.63,1:19.17,7,9.95,1:19.70,3,9.74,1:19.39,5,9.78,1:19.52,3,10.03,1:19.39,2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),1500m,w,Semifinals,2
7,9.81,1:29.35,2,9.74,1:29.01,1,9.74,1:28.91,6,9.61,1:29.31,3,9.68,1:29.07,4,9.56,1:29.08,5,9.81,1:29.20,2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),1500m,w,Semifinals,2
6,10.17,1:39.52,2,10.08,1:39.09,1,10.07,1:38.98,5,10.18,1:39.49,4,10.19,1:39.26,3,10.10,1:39.18,7,10.34,1:39.54,2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),1500m,w,Semifinals,2
6,10.07,1:49.59,1,9.95,1:49.04,2,10.14,1:49.12,5,9.96,1:49.45,4,10.08,1:49.34,3,10.04,1:49.22,7,10.20,1:49.74,2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),1500m,w,Semifinals,2
6,9.89,1:59.48,1,10.02,1:59.06,2,10.01,1:59.13,4,9.85,1:59.30,4,9.96,1:59.30,3,10.00,1:59.22,7,10.07,1:59.81,2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),1500m,w,Semifinals,2
5,9.86,2:09.34,1,9.92,2:08.98,2,9.94,2:09.07,4,10.03,2:09.33,6,10.26,2:09.56,3,9.97,2:09.19,7,10.60,2:10.41,2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),1500m,w,Semifinals,2
5,10.18,2:19.52,1,9.65,2:18.63,3,9.89,2:18.96,4,9.70,2:19.03,6,10.26,2:19.82,2,9.60,2:18.79,7,10.96,2:21.37,2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),1500m,w,Semifinals,2
5,10.02,2:29.520,1,9.73,2:28.36,3,9.63,2:28.59,4,9.81,2:28.84,6,10.54,2:30.340,2,9.70,2:28.49,7,11.39,2:32.743,2017-2018,ISU European Short Track Championships 2018 - Dresden (GER),1500m,w,Semifinals,2
