START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,season,competition,event,gender,round,race
3,12.63,12.63,1,12.47,12.47,4,12.76,12.76,2,12.56,12.56,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),2000mRelay,x,Semifinals,2
3,9.26,21.89,1,9.20,21.67,4,9.25,22.01,2,9.23,21.79,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),2000mRelay,x,Semifinals,2
3,9.19,31.08,1,9.13,30.80,4,9.18,31.19,2,9.11,30.90,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),2000mRelay,x,Semifinals,2
3,8.71,39.79,2,8.97,39.77,4,8.74,39.93,1,8.72,39.62,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),2000mRelay,x,Semifinals,2
4,22.98,1:02.77,3,9.16,48.93,2,8.85,48.78,1,8.71,48.33,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),2000mRelay,x,Semifinals,2
4,10.14,1:12.91,3,8.63,57.56,2,8.68,57.46,1,8.49,56.82,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),2000mRelay,x,Semifinals,2
4,10.41,1:23.32,3,8.36,1:05.92,2,8.36,1:05.82,1,8.43,1:05.25,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),2000mRelay,x,Semifinals,2
4,9.20,1:32.52,3,8.58,1:14.50,2,8.38,1:14.20,1,8.54,1:13.79,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),2000mRelay,x,Semifinals,2
4,8.86,1:41.38,3,8.32,1:22.82,2,8.22,1:22.42,1,8.41,1:22.20,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),2000mRelay,x,Semifinals,2
4,8.53,1:49.91,3,8.37,1:31.19,2,8.30,1:30.72,1,8.36,1:30.56,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),2000mRelay,x,Semifinals,2
4,8.89,1:58.80,3,8.52,1:39.71,2,8.69,1:39.41,1,8.77,1:39.33,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),2000mRelay,x,Semifinals,2
4,9.11,2:07.91,3,8.60,1:48.31,2,8.89,1:48.30,1,8.83,1:48.16,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),2000mRelay,x,Semifinals,2
4,9.53,2:17.44,3,9.21,1:57.52,2,9.08,1:57.38,1,8.85,1:57.01,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),2000mRelay,x,Semifinals,2
4,9.51,2:26.95,3,9.05,2:06.57,2,8.98,2:06.36,1,8.79,2:05.80,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),2000mRelay,x,Semifinals,2
4,9.65,2:36.60,3,8.63,2:15.20,2,8.77,2:15.13,1,8.62,2:14.42,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),2000mRelay,x,Semifinals,2
4,9.12,2:45.72,3,8.53,2:23.73,2,8.57,2:23.70,1,8.38,2:22.80,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),2000mRelay,x,Semifinals,2
4,9.19,2:54.91,3,8.90,2:32.63,2,8.50,2:32.20,1,8.40,2:31.20,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),2000mRelay,x,Semifinals,2
4,9.09,3:04.00,3,8.89,2:41.52,2,8.34,2:40.54,1,8.32,2:39.52,2018-2019,ISU World Cup 2018/19 - Salt Lake City (USA),2000mRelay,x,Semifinals,2
