START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
2,9.18,,1,9.08,9.08,4,9.47,9.47,6,9.88,9.88,3,9.32,9.32,5,9.68,9.68,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,2
4,11.89,,1,11.85,20.93,1,11.46,20.93,6,11.43,21.31,3,11.73,21.05,5,11.58,21.26,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,2
3,11.05,,1,11.02,31.95,2,11.10,32.03,3,10.81,32.12,5,11.17,32.22,6,11.05,32.31,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,2
3,10.50,,4,10.77,42.72,5,10.78,42.81,2,10.41,42.53,6,10.71,42.93,1,10.07,42.38,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,2
4,10.20,,3,10.07,52.79,5,10.13,52.94,2,10.18,52.71,6,10.16,53.09,1,10.20,52.58,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,2
3,10.44,,4,10.55,1:03.34,5,10.44,1:03.38,2,10.42,1:03.13,6,10.35,1:03.44,1,10.43,1:03.01,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,2
4,9.95,,3,9.78,1:13.12,6,10.02,1:13.40,1,9.88,1:13.01,5,9.88,1:13.32,2,10.01,1:13.02,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,2
6,28.24,,5,22.01,1:35.13,4,9.96,1:23.36,1,9.64,1:22.65,3,9.60,1:22.92,2,9.76,1:22.78,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,2
6,16.54,,5,15.44,1:50.57,4,10.16,1:33.52,1,9.83,1:32.48,3,9.90,1:32.82,2,9.82,1:32.60,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,2
6,13.32,,5,15.22,2:05.79,4,10.62,1:44.14,1,9.81,1:42.29,3,10.04,1:42.86,2,9.82,1:42.42,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,2
6,12.72,,5,13.56,2:19.35,4,11.11,1:55.25,1,9.85,1:52.14,3,10.34,1:53.20,2,9.86,1:52.28,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,2
6,11.77,,5,12.66,2:32.01,4,11.46,2:06.71,1,9.97,2:02.11,3,10.61,2:03.81,2,9.97,2:02.25,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,2
6,11.31,,5,12.96,2:44.97,4,11.77,2:18.48,1,10.14,2:12.25,3,10.90,2:14.71,2,10.14,2:12.39,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,2
5,11.17,,6,13.49,2:58.46,4,11.96,2:30.44,1,10.49,2:22.74,3,11.32,2:26.03,2,10.55,2:22.94,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,2
