START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,10.01,10.01,3,10.15,10.15,5,10.31,,2,10.03,10.03,4,10.17,10.17,6,10.51,10.51,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,m,Quarterfinals,5
3,11.91,21.92,4,11.89,22.04,5,11.90,,2,11.80,21.83,1,11.52,21.69,6,11.84,22.35,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,m,Quarterfinals,5
1,10.59,32.51,4,10.81,32.85,5,10.81,,3,10.88,32.71,2,10.91,32.60,6,10.77,33.12,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,m,Quarterfinals,5
1,10.40,42.91,4,10.38,43.23,5,10.38,,3,10.39,43.10,2,10.42,43.02,6,10.40,43.52,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,m,Quarterfinals,5
1,10.34,53.25,4,10.23,53.46,5,10.20,,2,10.23,53.33,3,10.33,53.35,6,10.19,53.71,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,m,Quarterfinals,5
4,10.02,1:03.27,5,9.93,1:03.39,6,9.89,,1,9.75,1:03.08,3,9.83,1:03.18,2,9.45,1:03.16,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,m,Quarterfinals,5
3,9.44,1:12.71,5,9.59,1:12.98,6,9.50,,2,9.55,1:12.63,4,9.64,1:12.82,1,9.38,1:12.54,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,m,Quarterfinals,5
2,9.39,1:22.10,6,9.55,1:22.53,5,9.45,,3,9.60,1:22.23,4,9.49,1:22.31,1,9.44,1:21.98,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,m,Quarterfinals,5
2,9.46,1:31.56,6,9.47,1:32.00,5,9.32,,4,9.41,1:31.64,3,9.31,1:31.62,1,9.47,1:31.45,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,m,Quarterfinals,5
1,9.17,1:40.73,6,9.54,1:41.54,5,9.28,,4,9.34,1:40.98,3,9.34,1:40.96,2,9.42,1:40.87,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,m,Quarterfinals,5
1,9.16,1:49.89,6,9.62,1:51.16,4,9.17,,3,9.15,1:50.13,5,9.41,1:50.37,2,9.16,1:50.03,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,m,Quarterfinals,5
1,9.09,1:58.98,6,9.81,2:00.97,4,9.07,,3,9.05,1:59.18,5,9.04,1:59.41,2,8.97,1:59.00,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,m,Quarterfinals,5
2,9.16,2:08.14,5,10.15,2:11.12,6,23.74,2:23.02,3,9.21,2:08.39,4,9.10,2:08.51,1,8.91,2:07.91,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,m,Quarterfinals,5
2,9.30,2:17.44,5,10.46,2:21.58,,,,4,9.74,2:18.13,3,9.47,2:17.98,1,9.39,2:17.30,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,m,Quarterfinals,5
