START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,10.20,10.20,2,10.29,10.29,3,10.39,10.39,4,10.53,10.53,5,10.58,10.58,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Quarterfinals,1
2,13.74,23.94,1,13.42,23.71,3,13.65,24.04,4,13.64,24.17,5,13.73,24.31,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Quarterfinals,1
2,11.69,35.63,1,11.80,35.51,3,11.69,35.73,4,11.67,35.84,5,11.64,35.95,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Quarterfinals,1
2,11.44,47.07,1,11.42,46.93,3,11.42,47.15,4,11.44,47.28,5,11.48,47.43,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Quarterfinals,1
2,10.96,58.03,1,10.99,57.92,3,10.96,58.11,4,10.95,58.23,5,10.91,58.34,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Quarterfinals,1
1,10.66,1:08.69,2,10.79,1:08.71,3,10.73,1:08.84,5,10.85,1:09.08,4,10.62,1:08.96,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Quarterfinals,1
1,10.35,1:19.04,2,10.47,1:19.18,3,10.42,1:19.26,5,10.39,1:19.47,4,10.41,1:19.37,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Quarterfinals,1
1,10.06,1:29.10,2,10.03,1:29.21,3,10.04,1:29.30,5,10.04,1:29.51,4,10.02,1:29.39,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Quarterfinals,1
1,9.79,1:38.89,2,9.78,1:38.99,3,9.78,1:39.08,5,9.81,1:39.32,4,9.79,1:39.18,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Quarterfinals,1
1,9.61,1:48.50,2,9.61,1:48.60,3,9.58,1:48.66,5,9.63,1:48.95,4,9.55,1:48.73,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Quarterfinals,1
1,9.44,1:57.94,2,9.42,1:58.02,3,9.48,1:58.14,5,9.69,1:58.64,4,9.60,1:58.33,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Quarterfinals,1
1,9.50,2:07.44,2,9.50,2:07.52,3,9.47,2:07.61,5,10.17,2:08.81,4,9.64,2:07.97,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Quarterfinals,1
1,9.58,2:17.02,2,9.58,2:17.10,3,9.57,2:17.18,5,10.84,2:19.65,4,10.11,2:18.08,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Quarterfinals,1
1,9.85,2:26.87,0,9.87,2:26.97,0,9.79,2:26.97,5,11.56,2:31.21,4,10.65,2:28.73,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Quarterfinals,1
