START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
6,9.85,9.85,2,9.48,9.48,3,9.61,9.61,1,9.45,9.45,3,9.61,9.61,5,9.71,9.71,7,10.01,10.01,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,Quarterfinals,4
6,12.80,22.65,3,12.82,22.30,4,12.80,22.41,1,12.65,22.10,2,12.57,22.18,5,12.81,22.52,7,12.77,22.78,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,Quarterfinals,4
2,11.83,34.48,6,12.32,34.62,3,12.12,34.53,1,12.34,34.44,3,12.35,34.53,7,12.19,34.71,5,11.78,34.56,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,Quarterfinals,4
2,10.09,44.57,5,10.49,45.11,3,10.15,44.68,6,10.80,45.24,4,10.45,44.98,7,10.64,45.35,1,9.78,44.34,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,Quarterfinals,4
2,10.29,54.86,5,9.97,55.08,3,10.26,54.94,6,9.92,55.16,4,10.02,55.00,7,9.93,55.28,1,10.42,54.76,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,Quarterfinals,4
2,10.78,1:05.64,4,10.75,1:05.83,3,10.83,1:05.77,6,10.91,1:06.07,5,10.85,1:05.85,7,10.92,1:06.20,1,10.75,1:05.51,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,Quarterfinals,4
2,10.60,1:16.24,4,10.54,1:16.37,3,10.49,1:16.26,6,10.56,1:16.63,5,10.66,1:16.51,7,10.59,1:16.79,1,10.61,1:16.12,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,Quarterfinals,4
3,10.02,1:26.26,4,10.00,1:26.37,1,9.82,1:26.08,6,10.01,1:26.64,5,9.99,1:26.50,7,10.13,1:26.92,2,9.97,1:26.09,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,Quarterfinals,4
1,9.55,1:35.81,4,9.66,1:36.03,2,9.74,1:35.82,6,9.72,1:36.36,5,9.66,1:36.16,7,10.17,1:37.09,3,9.84,1:35.93,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,Quarterfinals,4
1,9.46,1:45.27,4,9.62,1:45.65,2,9.55,1:45.37,6,9.67,1:46.03,5,9.61,1:45.77,7,10.61,1:47.70,3,9.57,1:45.50,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,Quarterfinals,4
1,9.88,1:55.15,4,9.83,1:55.48,2,9.90,1:55.27,6,9.83,1:55.86,5,9.78,1:55.55,7,10.99,1:58.69,3,9.90,1:55.40,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,Quarterfinals,4
1,9.88,2:05.03,4,9.98,2:05.46,2,9.87,2:05.14,6,10.04,2:05.90,5,10.02,2:05.57,7,11.49,2:10.18,3,9.95,2:05.35,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,Quarterfinals,4
1,9.99,2:15.02,4,10.23,2:15.69,2,9.99,2:15.13,6,10.46,2:16.36,5,10.22,2:15.79,7,11.84,2:22.02,3,10.28,2:15.63,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,Quarterfinals,4
1,10.23,2:25.25,3,10.36,2:26.05,2,10.18,2:25.31,6,10.99,2:27.35,5,10.56,2:26.35,7,12.07,2:34.09,4,10.61,2:26.24,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,Quarterfinals,4
