race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,4,,8,RENZiwei,8601,CHN,40.786,Q
0,2,5,,35,SITNIKOVPavel,9133,RUS,40.903,Q
0,3,2,,67,AZHGALIYEVAbzal,7685,KAZ,40.904,
0,PEN,3,,32,HOOGERWERFDylan,8497,NED,PEN,
1,1,2,,9,DUBOISSteven,9092,CAN,40.919,Q
1,2,4,,7,LEEJuneSeo,9370,KOR,41.270,Q
1,3,1,,10,ShaolinSandorLIU,7928,HUN,53.909,ADV
1,PEN,3,,59,ShaoangLIU,8564,HUN,PEN,
1,PEN,5,,100,SIGHELPietro,9251,ITA,PEN,
2,1,2,,92,IVLIEVKonstantin,9417,RUS,41.081,Q
2,2,6,,94,SUNLong,9454,CHN,41.272,Q
2,3,5,,106,TREACYNiall,9390,GBR,41.396,
2,4,4,,14,KIKUCHIKota,8620,JPN,49.877,
2,5,1,,68,BLAISCedrik,8998,CAN,58.730,ADV
2,PEN,3,,16,deLAATItzhak,7746,NED,PEN,
3,1,1,,2,HWANGDaeHeon,9115,KOR,40.690,Q
3,2,3,,176,EYBOGDaniil,8661,RUS,41.243,Q
3,3,4,,85,FERCOQQuentin,8605,FRA,41.280,
3,4,2,,157,MaximeLAOUN,8599,CAN,1:19.432,
3,5,5,,28,ThomasInsukHONG,8084,USA,notime,
