race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,1,,,KIMDong-Sung,6944,KOR,2:30.041,
0,2,2,,,RustySMITH,6496,USA,2:30.757,
0,3,5,,,AlessandroORTALLI,6605,ITA,2:31.741,
0,4,3,,,DenisZASLAVSKY,6335,ISR,2:31.897,
0,5,4,,,Francois-LouisTREMBLAY,6704,CAN,2:32.531,
0,6,6,,,YATESAnthony,7022,RSA,2:40.221,
1,1,1,,,SAITOYASUSHI,7012,JPN,2:25.861,
1,2,3,,,SMITHTONY,6726,CAN,2:26.052,
1,3,2,,,TobiasRETSCHKE,6636,GER,2:26.161,
1,4,6,,,KnutALSEMGEEST,6670,NED,2:28.422,
1,5,4,,,BalazsKOVER,6758,HUN,2:31.104,
1,6,5,,,KRASNOTSVETOVEvgeni,7016,RUS,2:33.352,
2,1,1,,,DanielWEINSTEIN,6940,USA,2:27.421,
2,2,6,,,SimoneRODIGARI,6053,ITA,2:29.860,
2,3,3,,,HAUPTMANNMarek,6865,GER,2:31.162,
2,4,7,,,EDWARDSMICHAEL,7017,GBR,2:32.494,
2,5,5,,,AndrewMcNEE,6431,AUS,2:36.478,
2,6,2,,,CHUNGSuk-Joo,7021,KOR,2:47.795,
2,DQ,4,,,HayatoSUEYOSHI,6321,JPN,DQ,
