season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
1997-1998,1997 Olympic Qualifier,1000M,w,Preliminaries,1,1,1,,,ChristineBOUDRIAS,7061,CAN,1:40.467,
1997-1998,1997 Olympic Qualifier,1000M,w,Preliminaries,1,2,2,,,TIKHANINAElena,6477,RUS,1:40.615,
1997-1998,1997 Olympic Qualifier,1000M,w,Preliminaries,1,3,4,,,KatrinWEBER,6716,GER,1:40.692,
1997-1998,1997 Olympic Qualifier,1000M,w,Preliminaries,1,4,3,,,MargaritaLARIONOVA,6886,EST,1:45.810,
1997-1998,1997 Olympic Qualifier,1000M,w,Preliminaries,2,1,4,,,CHUNLee-Kyung,6869,KOR,1:38.065,
1997-1998,1997 Olympic Qualifier,1000M,w,Preliminaries,2,2,2,,,JulieGOSKOWICZ,6939,USA,1:38.194,
1997-1998,1997 Olympic Qualifier,1000M,w,Preliminaries,2,3,1,,,KARELINOlga,6984,ISR,1:38.638,
1997-1998,1997 Olympic Qualifier,1000M,w,Preliminaries,2,4,3,,,PODOPRIGORANataliya,6379,KAZ,1:39.874,
1997-1998,1997 Olympic Qualifier,1000M,w,Preliminaries,3,1,2,,,MarinellaCANCLINI,6327,ITA,1:36.130,
1997-1998,1997 Olympic Qualifier,1000M,w,Preliminaries,3,2,1,,,ChikageTANAKA,6314,JPN,1:36.623,
1997-1998,1997 Olympic Qualifier,1000M,w,Preliminaries,3,3,3,,,DebbiePALMER,6638,GBR,1:37.572,
1997-1998,1997 Olympic Qualifier,1000M,w,Preliminaries,3,4,4,,,CHARKIEWICZAnna,7013,POL,1:41.008,
1997-1998,1997 Olympic Qualifier,1000M,w,Preliminaries,4,1,1,,,MaraURBANI,6946,ITA,1:38.528,
1997-1998,1997 Olympic Qualifier,1000M,w,Preliminaries,4,2,2,,,EvgeniaRADANOVA,6775,BUL,1:38.769,
1997-1998,1997 Olympic Qualifier,1000M,w,Preliminaries,4,3,4,,,CSIZMADIAAgnes,6995,HUN,1:38.910,
1997-1998,1997 Olympic Qualifier,1000M,w,Preliminaries,4,4,3,,,YuliaPAVLOVICH,6780,BLR,1:45.201,
1997-1998,1997 Olympic Qualifier,1000M,w,Preliminaries,5,1,1,,,IkueTESHIGAWARA,6315,JPN,1:37.747,
1997-1998,1997 Olympic Qualifier,1000M,w,Preliminaries,5,2,4,,,MelaniedeLANGE,6005,NED,1:38.267,
1997-1998,1997 Olympic Qualifier,1000M,w,Preliminaries,5,3,2,,,DALYJanet,6990,AUS,1:39.027,
1997-1998,1997 Olympic Qualifier,1000M,w,Preliminaries,5,4,3,,,BAKIERMarta,6765,POL,1:40.266,
1997-1998,1997 Olympic Qualifier,1000M,w,Preliminaries,6,1,1,,,YANGAYang,6649,CHN,1:40.232,
1997-1998,1997 Olympic Qualifier,1000M,w,Preliminaries,6,2,4,,,HANRyonHui,7081,PRK,1:40.437,
1997-1998,1997 Olympic Qualifier,1000M,w,Preliminaries,6,3,2,,,PETROVANataliya,6991,KAZ,2:00.363,
1997-1998,1997 Olympic Qualifier,1000M,w,Preliminaries,6,DQ,3,,,AnnaKRASTEVA,6773,BUL,DQ,
1997-1998,1997 Olympic Qualifier,1000M,w,Preliminaries,7,1,1,,,KIMYun-Mi,6480,KOR,1:38.197,
1997-1998,1997 Olympic Qualifier,1000M,w,Preliminaries,7,2,4,,,SOLOMATINAOlga,6733,UKR,1:38.652,
1997-1998,1997 Olympic Qualifier,1000M,w,Preliminaries,7,3,3,,,SZABOLCSISzilvia,6983,HUN,1:39.099,
1997-1998,1997 Olympic Qualifier,1000M,w,Preliminaries,7,4,2,,,YvonneKUNZE,6363,GER,1:46.303,
1997-1998,1997 Olympic Qualifier,1000M,w,Preliminaries,8,1,1,,,IsabelleCHAREST,6700,CAN,1:37.118,
1997-1998,1997 Olympic Qualifier,1000M,w,Preliminaries,8,2,3,,,PYLAEVAMarina,6981,RUS,1:38.234,
1997-1998,1997 Olympic Qualifier,1000M,w,Preliminaries,8,3,2,,,NataliaSVERCHKOVA,6732,UKR,1:38.329,
1997-1998,1997 Olympic Qualifier,1000M,w,Preliminaries,8,4,4,,,JONGOkMyong,6665,PRK,1:39.191,
1997-1998,1997 Olympic Qualifier,1000M,w,Preliminaries,9,1,1,,,WANGChunlu,6648,CHN,1:38.763,
1997-1998,1997 Olympic Qualifier,1000M,w,Preliminaries,9,2,2,,,EllenWIEGERS,6555,NED,1:38.988,
1997-1998,1997 Olympic Qualifier,1000M,w,Preliminaries,9,3,3,,,ErinPORTER,6532,USA,1:39.033,
