race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,1,,,KIMDong-Sung,6944,KOR,2:16.071,
0,2,2,,,RustySMITH,6496,USA,2:16.430,
0,3,3,,,TakafumiNISHITANI,6323,JPN,2:16.491,
0,4,4,,,KornelSZANTO,6338,HUN,2:20.241,
0,5,5,,,CHIANGYen-Hsin,6505,TPE,2:56.618,
1,1,3,,,LEESeung-Jae,6621,KOR,2:16.370,
1,2,2,,,FENGKai,6058,CHN,2:16.598,
1,3,4,,,JonathanGUILMETTE,6702,CAN,2:16.621,
1,4,5,,,JoshuaMARDEN,6606,AUS,2:22.319,
1,5,6,,,TCHESHUKINAnton,6896,RUS,2:37.211,
1,6,1,,,BrunoLOSCOS,6643,FRA,2:51.680,
2,1,1,,,SatoruTERAO,6320,JPN,2:20.511,
2,2,2,,,ANYulong,6656,CHN,2:20.866,
2,3,3,,,StevenBRADBURY,6430,AUS,2:21.249,
2,4,5,,,ZsoltLAJOS,6493,HUN,2:25.849,
2,5,4,,,TomO'HARE,6500,USA,2:35.544,
2,DQ,6,,,TANGBo-wen,6492,TPE,DQ,
3,1,2,,,Francois-LouisTREMBLAY,6704,CAN,2:21.941,
3,2,4,,,HayatoSUEYOSHI,6321,JPN,2:21.947,
3,3,1,,,LIJiajun,7095,CHN,2:21.971,
3,4,3,,,BalazsKNOCH,6341,HUN,2:22.990,
3,5,6,,,IVLIEVAlexei,6994,RUS,2:23.115,
3,6,5,,,CHANGYung-Tai,6502,TPE,3:02.133,
4,2,1,,,MINRyoung,6619,KOR,2:17.223,
4,3,4,,,DerrickCAMPBELL,6749,CAN,2:18.876,
4,4,3,,,MarkMcNEE,6432,AUS,2:20.978,
4,5,5,,,OlegGLEBOV,6495,RUS,2:22.490,
