season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
1999-2000,1999 World Cup - Changchun,500M,w,Heats,1,1,2,,,ChristineBOUDRIAS,7061,CAN,47.170,
1999-2000,1999 World Cup - Changchun,500M,w,Heats,1,2,1,,,ChikageTANAKA,6314,JPN,47.218,
1999-2000,1999 World Cup - Changchun,500M,w,Heats,1,3,3,,,SarahLANG,6527,USA,47.307,
1999-2000,1999 World Cup - Changchun,500M,w,Heats,2,1,1,,,WANGChunlu,6648,CHN,46.285,
1999-2000,1999 World Cup - Changchun,500M,w,Heats,2,2,2,,,AmyPETERSON,6528,USA,46.297,
1999-2000,1999 World Cup - Changchun,500M,w,Heats,2,3,3,,,KIMYun-Mi,6480,KOR,49.667,
1999-2000,1999 World Cup - Changchun,500M,w,Heats,3,1,1,,,YANGsYang,6651,CHN,46.676,
1999-2000,1999 World Cup - Changchun,500M,w,Heats,3,2,2,,,JulieGOSKOWICZ,6939,USA,46.758,
1999-2000,1999 World Cup - Changchun,500M,w,Heats,3,3,3,,,TIKHANINAElena,6477,RUS,47.276,
1999-2000,1999 World Cup - Changchun,500M,w,Heats,4,2,1,,,CHOIMin-Kyung,6548,KOR,46.286,
1999-2000,1999 World Cup - Changchun,500M,w,Heats,4,3,3,,,IkueTESHIGAWARA,6315,JPN,48.214,
1999-2000,1999 World Cup - Changchun,500M,w,Heats,5,1,1,,,EvgeniaRADANOVA,6775,BUL,45.498,
1999-2000,1999 World Cup - Changchun,500M,w,Heats,5,2,3,,,TaniaVICENT,6662,CAN,45.649,
1999-2000,1999 World Cup - Changchun,500M,w,Heats,5,3,2,,,PARKHye-Won,7085,KOR,45.826,
1999-2000,1999 World Cup - Changchun,500M,w,Heats,6,1,1,,,AnniePERREAULT,6660,CAN,47.710,
1999-2000,1999 World Cup - Changchun,500M,w,Heats,6,2,2,,,YukaKAMINO,6945,JPN,48.013,
1999-2000,1999 World Cup - Changchun,500M,w,Heats,6,3,3,,,KUOShi-Je,6479,TPE,55.338,
