race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,1,,,KIMDong-Sung,6944,KOR,1:42.749,
0,2,3,,,PieterGYSEL,6425,BEL,1:42.924,
0,3,2,,,ZsoltLAJOS,6493,HUN,1:43.020,
1,1,3,,,CeesJUFFERMANS,6072,NED,1:38.071,
1,2,4,,,KirilPANDOV,6779,BUL,1:38.656,
1,3,1,,,DenisZASLAVSKY,6335,ISR,2:11.437,
1,DQ,2,,,KornelSZANTO,6338,HUN,DQ,
2,1,1,,,JonathanGUILMETTE,6702,CAN,1:36.638,
2,2,3,,,AlexVELZEBOER,6539,NED,1:36.963,
2,3,2,,,SimonvanVOSSEL,7098,BEL,1:38.282,
2,4,4,,,KrisztianSZABO,6340,HUN,1:39.700,
3,1,1,,,FabioCARTA,6001,ITA,1:39.993,
3,2,3,,,MartinJOHANSSON,6509,SWE,1:40.014,
3,3,4,,,LIYe,6655,CHN,1:40.113,
3,DNS,2,,,DaveVERSTEEG,6540,NED,DNS,
4,1,3,,,JeffSCHOLTEN,6604,CAN,1:34.333,
4,2,1,,,BrunoLOSCOS,6643,FRA,1:34.708,
4,3,2,,,NicolaFRANCESCHINA,6331,ITA,1:34.726,
4,4,4,,,JulianANGELOV,6776,BUL,1:37.009,
5,1,1,,,ANYulong,6656,CHN,1:34.455,
5,2,4,,,SEOHo-Jin,6547,KOR,1:34.504,
5,3,3,,,GisleTVERLAND,7063,NOR,1:34.860,
5,DQ,2,,,MicheleANTONIOLI,6330,ITA,DQ,
6,2,2,,,MarkJACKSON,6941,NZL,1:36.193,
6,3,3,,,AssenPANDOV,6778,BUL,1:36.663,
6,4,4,,,VladimirBOHUSLAV,6504,CZE,1:36.715,
7,1,3,,,MathieuTURCOTTE,6705,CAN,1:35.695,
7,2,1,,,MINRyoung,6619,KOR,1:35.884,
7,3,2,,,DavidCHEVALIER,6744,FRA,1:36.345,
7,4,4,,,JonathanCLEINE,6534,NZL,1:37.468,
