race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,3,,,PARKHye-Rim,6615,KOR,1:37.020,
0,2,1,,,ChristineBOUDRIAS,7061,CAN,1:37.223,
0,3,2,,,NataliaSVERCHKOVA,6732,UKR,1:39.979,
1,1,2,,,SUNDandan,6653,CHN,1:44.907,
1,2,1,,,AtsukoTAKATA,6316,JPN,1:45.014,
1,3,3,,,MelaniedeLANGE,6005,NED,1:45.586,
2,1,1,,,AmyPETERSON,6528,USA,1:36.226,
2,2,3,,,AlannaKRAUS,6659,CAN,1:36.645,
2,3,4,,,NataliaDMITRIEVA,6512,RUS,1:37.001,
2,DQ,2,,,HANRyonHui,7081,PRK,DQ,
3,2,1,,,CHOIMin-Kyung,6548,KOR,1:37.543,
3,3,2,,,SOLOMATINAOlga,6733,UKR,1:41.146,
3,4,4,,,TSOICordiaPoYee,6677,HKG,1:57.558,
4,1,2,,,CHOIEun-Kyung,6943,KOR,1:37.822,
4,2,1,,,IkueTESHIGAWARA,6315,JPN,1:37.963,
4,3,4,,,SarahLANG,6527,USA,1:38.092,
4,DQ,3,,,CarolAnnCHENARD,6455,CAN,DQ,
5,1,2,,,AnkeJannieLANDMAN,6538,NED,1:35.262,
5,2,3,,,ChikageTANAKA,6314,JPN,1:35.385,
5,DQ,1,,,JONGOkMyong,6665,PRK,DQ,
6,1,3,,,WANGChunlu,6648,CHN,1:37.108,
6,2,4,,,JulieGOSKOWICZ,6939,USA,1:37.990,
6,3,2,,,AnoukWIEGERS,6536,NED,1:39.344,
6,4,1,,,YACOUBIryna,6735,UKR,1:40.718,
