season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2000-2001,2001 European Championships,1500M,m,SemiFinals,1,1,5,,,CeesJUFFERMANS,6072,NED,2:22.402,
2000-2001,2001 European Championships,1500M,m,SemiFinals,1,2,2,,,MicheleANTONIOLI,6330,ITA,2:22.714,
2000-2001,2001 European Championships,1500M,m,SemiFinals,1,3,4,,,PieterGYSEL,6425,BEL,2:23.495,
2000-2001,2001 European Championships,1500M,m,SemiFinals,1,4,3,,,MartinJOHANSSON,6509,SWE,2:23.758,
2000-2001,2001 European Championships,1500M,m,SemiFinals,1,5,1,,,GregoryDURAND,6646,FRA,2:24.060,
2000-2001,2001 European Championships,1500M,m,SemiFinals,1,6,6,,,ArianNACHBAR,6637,GER,2:25.052,
2000-2001,2001 European Championships,1500M,m,SemiFinals,2,1,3,,,NickyGOOCH,6640,GBR,2:22.805,
2000-2001,2001 European Championships,1500M,m,SemiFinals,2,2,4,,,OlegGLEBOV,6495,RUS,2:23.611,
2000-2001,2001 European Championships,1500M,m,SemiFinals,2,3,2,,,GisleTVERLAND,7063,NOR,2:25.134,
2000-2001,2001 European Championships,1500M,m,SemiFinals,2,4,1,,,JeroenHUISKAMP,6542,NED,2:29.374,
2000-2001,2001 European Championships,1500M,m,SemiFinals,2,5,6,,,DenisZASLAVSKY,6335,ISR,3:04.786,
2000-2001,2001 European Championships,1500M,m,SemiFinals,2,DQ,5,,,MaurizioCARNINO,6333,ITA,DQ,
2000-2001,2001 European Championships,1500M,m,SemiFinals,3,1,5,,,BrunoLOSCOS,6643,FRA,2:20.630,
2000-2001,2001 European Championships,1500M,m,SemiFinals,3,2,1,,,NicolaRODIGARI,6332,ITA,2:20.739,
2000-2001,2001 European Championships,1500M,m,SemiFinals,3,3,3,,,DaveVERSTEEG,6540,NED,2:20.926,
2000-2001,2001 European Championships,1500M,m,SemiFinals,3,4,2,,,TCHESHUKINAnton,6896,RUS,2:21.004,
2000-2001,2001 European Championships,1500M,m,SemiFinals,3,5,6,,,JarmilHRUZA,6503,CZE,2:28.669,
2000-2001,2001 European Championships,1500M,m,SemiFinals,3,6,4,,,WardJANSSENS,6426,BEL,2:54.678,
