season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
2000-2001,2001 World Junior Championships,2000MRelay,w,Heats,1,1,2,,,KOREA,7314,KOR,3:00.326,
2000-2001,2001 World Junior Championships,2000MRelay,w,Heats,1,2,4,,,JAPAN,7310,JPN,3:05.643,
2000-2001,2001 World Junior Championships,2000MRelay,w,Heats,1,3,3,,,POLAND,7332,POL,3:14.884,
2000-2001,2001 World Junior Championships,2000MRelay,w,Heats,1,4,1,,,HUNGARY,7323,HUN,3:20.730,
2000-2001,2001 World Junior Championships,2000MRelay,w,Heats,2,1,2,,,CHINA,7311,CHN,3:02.224,
2000-2001,2001 World Junior Championships,2000MRelay,w,Heats,2,2,1,,,RUSSIA,7315,RUS,3:06.387,
2000-2001,2001 World Junior Championships,2000MRelay,w,Heats,2,3,4,,,NETHERLANDS,7322,NED,3:08.000,
2000-2001,2001 World Junior Championships,2000MRelay,w,Heats,2,4,3,,,ROMANIA,8123,ROU,3:17.782,
2000-2001,2001 World Junior Championships,2000MRelay,w,Heats,3,1,2,,,CANADA,7312,CAN,3:05.946,
2000-2001,2001 World Junior Championships,2000MRelay,w,Heats,3,2,3,,,UNITEDSTATES,7316,USA,3:10.625,
2000-2001,2001 World Junior Championships,2000MRelay,w,Heats,3,3,4,,,ITALY,7317,ITA,3:13.837,
2000-2001,2001 World Junior Championships,2000MRelay,w,Heats,3,4,1,,,AUSTRIA,8197,AUT,3:15.644,
