race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,1,,,MarcGAGNON,6701,CAN,1:29.102,
0,2,2,,,RustySMITH,6496,USA,1:29.115,
0,3,4,,,TakafumiNISHITANI,6323,JPN,1:29.603,
0,4,3,,,JeanCharlesMATTEI,6057,FRA,1:30.506,
1,2,1,,,LIJiajun,7095,CHN,1:33.680,
1,3,3,,,NicolaFRANCESCHINA,6331,ITA,1:33.840,
1,4,2,,,LucBRIGATTI,6645,FRA,1:35.420,
2,1,2,,,NicolaRODIGARI,6332,ITA,1:34.616,
2,2,3,,,ANYulong,6656,CHN,1:34.854,
2,3,4,,,GregoryDURAND,6646,FRA,1:34.953,
2,4,1,,,KornelSZANTO,6338,HUN,1:35.081,
3,1,3,,,ApoloAntonOHNO,6497,USA,1:32.920,
3,2,4,,,FabioCARTA,6001,ITA,1:33.127,
3,3,1,,,StevenBRADBURY,6430,AUS,1:33.295,
3,4,2,,,YugoSHINOHARA,6325,JPN,1:33.999,
4,1,2,,,JonathanGUILMETTE,6702,CAN,1:32.383,
4,2,1,,,WimdeDEYNE,6699,BEL,1:32.517,
4,3,3,,,MatusUZAK,6510,SVK,1:32.869,
4,4,4,,,SebastianPRAUS,6364,GER,1:33.306,
5,1,4,,,LEESeung-Jae,6621,KOR,1:30.489,
5,2,1,,,FENGKai,6058,CHN,1:30.628,
5,3,2,,,CeesJUFFERMANS,6072,NED,1:30.862,
5,4,3,,,DanielWEINSTEIN,6940,USA,1:30.953,
6,1,3,,,MathieuTURCOTTE,6705,CAN,1:29.784,
6,2,4,,,NickyGOOCH,6640,GBR,1:30.094,
6,3,2,,,MartinJOHANSSON,6509,SWE,1:30.162,
6,4,1,,,DaveVERSTEEG,6540,NED,1:31.368,
7,1,2,,,MINRyoung,6619,KOR,1:36.224,
7,2,3,,,SatoruTERAO,6320,JPN,1:36.382,
7,3,1,,,HELASHolger,6506,GER,1:36.489,
7,4,4,,,KarolBOBOWICZ,6070,POL,1:37.153,
