season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2001-2002,2001 World Cup - Nobeyama,1500M,w,SemiFinals,1,1,2,,,EvgeniaRADANOVA,6775,BUL,2:35.151,
2001-2002,2001 World Cup - Nobeyama,1500M,w,SemiFinals,1,2,5,,,JOOMin-Jin,6616,KOR,2:35.254,
2001-2002,2001 World Cup - Nobeyama,1500M,w,SemiFinals,1,3,3,,,ChikageTANAKA,6314,JPN,2:35.368,
2001-2002,2001 World Cup - Nobeyama,1500M,w,SemiFinals,1,4,1,,,SUNDandan,6653,CHN,2:37.675,
2001-2002,2001 World Cup - Nobeyama,1500M,w,SemiFinals,1,5,6,,,YANGsYang,6651,CHN,2:38.369,
2001-2002,2001 World Cup - Nobeyama,1500M,w,SemiFinals,1,6,4,,,NataliaDMITRIEVA,6512,RUS,2:40.683,
2001-2002,2001 World Cup - Nobeyama,1500M,w,SemiFinals,2,1,2,,,CHOIMin-Kyung,6548,KOR,3:03.769,
2001-2002,2001 World Cup - Nobeyama,1500M,w,SemiFinals,2,3,5,,,YANGAYang,6649,CHN,3:03.787,
2001-2002,2001 World Cup - Nobeyama,1500M,w,SemiFinals,2,4,1,,,NinaEVTEEVA,6511,RUS,3:03.826,
2001-2002,2001 World Cup - Nobeyama,1500M,w,SemiFinals,2,5,6,,,TatianaBORODULINA,7483,RUS,3:04.889,
2001-2002,2001 World Cup - Nobeyama,1500M,w,SemiFinals,2,6,4,,,KatalinKRISTO,6514,ROU,3:07.258,
2001-2002,2001 World Cup - Nobeyama,1500M,w,SemiFinals,2,DNS,7,,,SarahLINDSAY,6056,GBR,DNS,
