race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,4,,,CHOIEun-Kyung,6943,KOR,1:37.844,
0,2,3,,,NinaEVTEEVA,6511,RUS,1:37.936,
0,3,1,,,IsabelleCHAREST,6700,CAN,1:38.054,
0,4,2,,,KatalinKRISTO,6514,ROU,1:39.772,
1,1,3,,,JOOMin-Jin,6616,KOR,1:38.140,
1,2,4,,,JoannaWILLIAMS,6639,GBR,1:38.229,
1,3,1,,,TatianaBORODULINA,7483,RUS,1:38.405,
1,4,2,,,MelaniedeLANGE,6005,NED,1:40.873,
2,1,4,,,AlannaKRAUS,6659,CAN,,
2,2,2,,,MaureendeLANGE,6535,NED,,
2,3,5,,,DanielaVLAEVA,6774,BUL,,
2,4,3,,,COLLASCecile,6870,FRA,,
2,5,1,,,FionavanVOLLENSTEE,6584,RSA,,
3,1,3,,,YANGsYang,6651,CHN,1:46.607,
3,2,4,,,StephanieBOUVIER,6709,FRA,1:47.399,
3,3,2,,,MarinaGEORGIEVA-NIKOLOVA,7097,BUL,2:26.578,
3,DQ,1,,,AikaKLEIN,6359,GER,DQ,
4,1,1,,,MartaCAPURSO,6328,ITA,1:36.896,
4,2,2,,,YvonneKUNZE,6363,GER,1:36.898,
4,3,4,,,AnkeJannieLANDMAN,6538,NED,1:37.910,
4,4,3,,,DebbiePALMER,6638,GBR,1:40.578,
4,5,5,,,PolonaPEUNIK,6036,SLO,1:43.141,
5,1,4,,,SUNDandan,6653,CHN,1:36.766,
5,2,3,,,TaniaVICENT,6662,CAN,1:37.027,
5,3,2,,,MarinellaCANCLINI,6327,ITA,1:37.157,
5,4,1,,,KristinaVUTEVA,6060,BUL,1:40.809,
6,2,3,,,NataliaDMITRIEVA,6512,RUS,1:39.331,
6,3,4,,,SOLOMATINAOlga,6733,UKR,1:39.739,
6,4,1,,,VeronikaWINDISCH,6427,AUT,1:40.070,
7,1,1,,,PARKHye-Won,7085,KOR,1:35.494,
7,2,4,,,SarahLINDSAY,6056,GBR,1:35.741,
7,3,3,,,MaraZINI,6326,ITA,1:35.767,
7,4,5,,,ChristinPRIEBST,6078,GER,1:35.922,
7,5,2,,,YuliaPAVLOVICH,6780,BLR,1:36.614,
