race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,2,,122,RustySMITH,6496,USA,1:34.058,Q
0,2,1,,112,TomIVESON,6898,GBR,1:34.130,Q
0,3,3,,101,MarkMcNEE,6432,AUS,1:34.202,
0,4,4,,119,MatthewFULLER,6448,NZL,1:34.788,
1,1,1,,116,LEESeung-Jae,6621,KOR,1:34.068,Q
1,2,3,,103,Francois-LouisTREMBLAY,6704,CAN,1:34.175,Q
1,DQ,2,,117,CeesJUFFERMANS,6072,NED,DQ,
1,DQ,4,,123,MisiTOTH,6626,USA,DQ,
2,1,3,,115,AHNHyun-Soo,6618,KOR,1:33.031,Q
2,2,1,,104,JonathanGUILMETTE,6702,CAN,1:33.150,Q
2,3,2,,165,JeroenHUISKAMP,6542,NED,1:35.607,
2,,3,,118,DaveVERSTEEG,6540,NED,,
3,1,3,,162,SONGSuk-Woo,7086,KOR,1:40.348,Q
3,2,2,,155,Jean-FrancoisMONETTE,7096,CAN,1:40.571,Q
3,3,1,,164,Robbert-KeesBOER,6456,NED,1:41.617,
4,1,4,,113,ArianNACHBAR,6637,GER,1:36.164,Q
4,2,1,,158,GUOWei,6654,CHN,1:36.292,Q
4,3,3,,120,MarkJACKSON,6941,NZL,1:36.942,
4,4,2,,107,MatthieudeBOISSET,6467,FRA,1:37.506,
5,1,3,,160,AndreHARTWIG,6635,GER,1:34.265,Q
5,2,1,,111,LeonFLACK,6641,GBR,1:34.346,Q
5,3,2,,102,AlexMcEWAN,6428,AUS,1:35.508,
5,4,4,,166,JeremyBECK,6550,NZL,1:35.677,
6,1,2,,121,ApoloAntonOHNO,6497,USA,1:36.548,Q
6,3,4,,108,DELMEDICOVincent,7100,FRA,1:37.234,
6,4,3,,151,StephenLEE,6002,AUS,1:37.870,
7,1,1,,106,LIYe,6655,CHN,1:34.750,Q
7,2,4,,109,JeanCharlesMATTEI,6057,FRA,1:35.012,Q
7,3,2,,110,JonELEY,6592,GBR,1:35.121,
7,4,3,,159,HELASHolger,6506,GER,1:36.120,
