race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,3,,140,NicolaRODIGARI,6332,ITA,44.041,Q
0,2,4,,125,SebastianPRAUS,6364,GER,44.603,Q
0,3,1,,145,NielsKERSTHOLT,7067,NED,44.667,q
0,DQ,2,,121,JeanCharlesMATTEI,6057,FRA,DQ,
1,1,1,,154,SONGSuk-Woo,7086,KOR,43.690,Q
1,2,2,,142,CeesJUFFERMANS,6072,NED,43.741,Q
1,3,3,,152,ZbigniewBRODKA,6096,POL,44.452,q
1,DQ,4,,163,MatusUZAK,6510,SVK,DQ,
2,1,3,,116,GUOWei,6654,CHN,44.597,Q
2,2,2,,148,KrystianZDROJKOWSKI,6515,POL,45.086,Q
2,3,1,,165,PeterJELEN,7077,SVK,45.313,ADV
2,DQ,4,,136,AdamKOVACS,6337,HUN,DQ,
3,1,1,,169,SaschaLAUBER,6634,SUI,43.437,Q
3,2,2,,122,GuillaumeMATHIEU,6871,FRA,43.570,Q
3,3,3,,135,PeterDARAZS,6465,HUN,43.993,q
3,4,4,,161,DmitryVASILENKO,6713,RUS,1:01.544,
4,1,2,,112,Jean-FrancoisMONETTE,7096,CAN,43.826,Q
4,2,1,,127,ArianNACHBAR,6637,GER,44.017,Q
4,3,3,,108,ThomasdeWITTE,6784,BEL,45.396,
4,4,4,,119,IvanDOLINIC,6669,CRO,46.540,
5,1,3,,114,LIJiajun,7095,CHN,42.890,Q
5,2,1,,141,RobertoSERRA,6463,ITA,43.027,Q
5,3,4,,107,PieterGYSEL,6425,BEL,43.185,q
5,4,2,,134,MatthewLINDSAY,6899,GBR,46.172,
6,1,2,,106,WimdeDEYNE,6699,BEL,43.450,Q
6,2,4,,153,LEESeung-Jae,6621,KOR,43.461,Q
6,3,1,,123,ThibautFAUCONNET,6785,FRA,43.666,q
6,4,3,,147,GisleTVERLAND,7063,NOR,44.165,
7,1,1,,117,LIHaonan,6658,CHN,43.612,Q
7,2,4,,113,HAMELINCharles,6610,CAN,43.616,Q
7,3,2,,149,KarolBOBOWICZ,6070,POL,43.825,q
7,4,3,,168,MartinJOHANSSON,6509,SWE,57.353,
8,2,1,,120,JarmilHRUZA,6503,CZE,44.855,Q
8,3,2,,143,DaveVERSTEEG,6540,NED,44.966,
8,4,3,,105,ElliottSHRIANE,6846,AUS,45.059,
9,1,2,,138,FabioCARTA,6001,ITA,43.921,Q
9,2,4,,102,MarkMcNEE,6432,AUS,44.017,Q
9,3,1,,130,PaulWORTH,6802,GBR,44.938,q
9,4,3,,162,MikhailRAJINE,6569,RUS,45.237,
10,1,2,,128,AndreHARTWIG,6635,GER,44.129,Q
10,2,4,,131,PhilipBROJAKA,6801,GBR,45.225,Q
10,3,1,,160,YaroslavKARPOUKHIN,6445,RUS,59.623,ADV
10,DQ,3,,101,AlexMcEWAN,6428,AUS,DQ,
11,1,4,,171,ApoloAntonOHNO,6497,USA,43.552,Q
11,2,2,,111,SteveROBILLARD,6494,CAN,43.622,Q
11,3,1,,164,TomasGRESCHNER,6633,SVK,43.917,q
11,4,3,,170,DavidGROSSENBACHER,6962,SUI,51.195,
11,,2,,109,JonathanGUILMETTE,6702,CAN,,
