race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,1,,9,AmandaOVERLAND,7079,CAN,2:33.217,Q
0,2,6,,53,YEOSoo-Yeon,7070,KOR,2:33.280,Q
0,3,4,,25,YvonneKUNZE,6363,GER,2:33.341,
0,4,3,,29,ErikaHUSZAR,6373,HUN,2:36.350,
0,5,5,,3,YulyiaYELSAKOVA,6021,BLR,2:41.146,
0,DNF,2,,18,WANGWei,6575,CHN,DNF,
1,2,3,,15,YANGAYang,6649,CHN,2:30.417,Q
1,3,4,,65,AllisonBAVER,6533,USA,2:30.811,
1,4,2,,32,MartaCAPURSO,6328,ITA,2:32.381,
1,5,5,,27,AikaKLEIN,6359,GER,2:35.809,
1,6,1,,24,MyrtilleGOLLIN,6714,FRA,2:36.180,
2,1,3,,19,KaterinaNOVOTNA,6647,CZE,2:31.403,Q
2,2,6,,14,WANGMeng,6594,CHN,2:33.282,Q
2,3,5,,50,CHOIEun-Kyung,6943,KOR,2:33.364,
2,4,2,,4,EvgeniaRADANOVA,6775,BUL,2:33.502,
2,5,1,,69,Hyo-JungKIM,6921,USA,2:33.962,
2,6,4,,33,KatiaZINI,6076,ITA,2:34.361,
