race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,1,,902,CANADA,7309,CAN,7:00.392,Q
0,2,2,,900,AUSTRALIA,7305,AUS,7:05.091,Q
0,3,4,,906,GREATBRITAIN,7320,GBR,7:11.803,
0,4,3,,910,NETHERLANDS,7321,NED,7:21.253,
1,1,1,,916,UNITEDSTATES,7306,USA,6:58.777,Q
1,2,3,,908,ITALY,7301,ITA,6:59.057,Q
1,3,2,,909,JAPAN,7310,JPN,7:02.617,q
1,4,4,,913,RUSSIA,7307,RUS,7:08.466,
2,1,2,,912,KOREA,7300,KOR,6:59.286,Q
2,2,1,,903,CHINA,7303,CHN,7:00.491,Q
2,3,4,,905,GERMANY,7302,GER,7:11.022,q
2,4,3,,901,BELGIUM,7897,BEL,7:12.545,
