season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,1,1,6,,152,JANGWon-Hoon,7166,KOR,2:24.955,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,1,2,2,,131,GaborGALAMBOS,6010,HUN,2:25.702,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,1,3,5,,122,JeremyMASSON,6173,FRA,2:26.820,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,1,4,4,,118,VojtechLOUDIN,7597,CZE,2:27.117,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,1,5,3,,148,BartoszKONOPKO,7169,POL,2:27.979,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,1,6,1,,143,PauliusGLUSINAS,7167,LTU,2:37.176,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,2,1,3,,132,ViktorKNOCH,6177,HUN,2:33.076,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,2,2,5,,123,SergePLANCHER,6310,FRA,2:33.170,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,2,3,4,,127,LOUGHREYStuart,6311,GBR,2:34.860,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,2,4,1,,115,BorenZUNAC,6170,CRO,2:41.546,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,2,5,2,,142,JanisPIUSS,7179,LAT,2:42.632,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,3,1,2,,112,WEIJiguang,7155,CHN,2:29.430,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,3,2,3,,109,MaximeFORTIN,7137,CAN,2:29.505,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,3,3,1,,158,SemenELISTRATOV,7293,RUS,2:29.632,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,3,4,4,,124,TorstenKROEGER,7141,GER,2:31.365,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,3,5,5,,166,IevgenGUTENOV,7178,UKR,2:33.920,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,4,1,4,,128,IanUPCOTT,7257,GBR,2:31.568,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,4,2,1,,138,SatoshiSAKASHITA,6183,JPN,2:31.611,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,4,3,5,,134,GianluigiNOVER,7260,ITA,2:31.776,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,4,4,2,,110,YELiming,6219,CHN,2:45.779,ADV,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,4,5,3,,155,TEKSECsongor,7271,ROU,3:00.179,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,5,1,6,,139,YuMIURA,6181,JPN,2:28.666,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,5,2,4,,159,MilosVIGAS,6132,SVK,2:29.285,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,5,3,2,,157,VOLIKOVArtem,7289,RUS,2:29.831,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,5,4,3,,101,BenjaminKOCH,6847,AUT,2:31.527,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,5,5,1,,103,UladzislauSHERAKOU,7115,BLR,2:32.332,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,5,6,5,,116,FilipBLEKIC,7143,CRO,3:00.111,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,6,1,5,,150,LEEJungSu,7266,KOR,2:30.152,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,6,2,1,,167,JeffSIMON,7280,USA,2:30.452,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,6,3,2,,117,PetrHARGAS,6171,CZE,2:30.787,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,6,4,4,,130,MartonTAMUS,6202,HUN,2:30.987,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,6,5,3,,149,RafalPIORECKI,7170,POL,2:39.002,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,6,6,6,,163,DejanHORVACKI,6936,SRB,3:10.714,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,7,1,4,,146,FreekvanderWART,7269,NED,2:33.077,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,7,2,3,,161,StefanDRAB,6210,SVK,2:33.990,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,7,3,1,,113,CHENGEricI,6937,TPE,2:34.376,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,7,4,2,,106,ViktorDIMITROV,7128,BUL,2:35.999,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,7,5,5,,164,KOLODYAZHNYYOleksandr,7277,UKR,2:36.707,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,7,6,6,,102,MatthiasSTELZMUELLER,7181,AUT,2:42.434,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,8,2,1,,107,VincentANDRE,7134,CAN,2:29.049,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,8,3,4,,135,ClaudioRINALDI,7261,ITA,2:29.203,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,8,4,2,,156,EvgeniiKOZULIN,7272,RUS,2:30.433,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,8,DQ,3,,168,SimonCHO,7188,USA,DQ,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,9,1,4,,121,MaximeCHATAIGNIER,6106,FRA,2:27.231,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,9,2,1,,133,MarcoBERTOLDI,6180,ITA,2:27.424,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,9,3,3,,171,YuzoTAKAMIDO,7158,JPN,2:27.792,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,9,4,2,,125,HannesKROEGER,7142,GER,2:30.624,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,9,5,5,,170,EdinBRANKOVIC,7256,BIH,2:34.330,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,10,1,3,,145,JorritOOSTEN,6123,NED,2:26.938,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,10,2,2,,104,ArnoJASPERS,7117,BEL,2:28.310,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,10,3,5,,119,OndrejSUCHY,7131,CZE,2:29.418,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,10,4,6,,160,BODOJuraj,7275,SVK,2:31.423,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,10,5,1,,153,PARASCHIVOIUMarius,7270,ROU,2:34.432,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,10,DNF,4,,165,ViktorKOROLOV,7177,UKR,DNF,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,11,1,5,,108,BEANNicholas,6128,CAN,2:27.557,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,11,2,4,,147,DariuszKULESZA,6817,POL,2:29.035,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,11,3,3,,129,GerardWILLIAMS,7148,GBR,2:29.298,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,11,4,2,,137,AlexanderZHELEZNOV,6179,ISR,2:29.418,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,11,5,1,,154,GellertPATAKI,6025,,2:33.315,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,11,6,6,,114,JakovDOLINIC,6309,CRO,2:35.502,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,12,1,5,,111,GAOMing,7154,CHN,2:29.083,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,12,2,4,,169,TrevorMARSICANO,7189,USA,2:29.641,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,12,3,3,,136,BYKANOVVladislav,6178,ISR,2:32.152,Q,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,12,4,6,,144,MikeWESTERMAN,7116,NED,2:34.159,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,12,5,2,,126,DennisWALZER,7144,GER,2:35.143,,
2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,12,6,1,,141,SAULITISJekabs,7267,LAT,2:37.477,,
