race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,1,,124,SebastianPRAUS,6364,GER,2:28.295,Q
0,2,4,,110,ArnoJASPERS,7117,BEL,2:30.239,Q
0,3,5,,163,FreekvanderWART,7269,NED,,ADV
0,DQ,2,,160,ViacheslavKURGINIAN,6934,RUS,DQ,
0,DQ,3,,120,JeremyMASSON,6173,FRA,DQ,
0,DQ,6,,171,OleksiyKOSHELENKO,7121,UKR,DQ,
1,1,4,,138,CONFORTOLAYuri,6561,ITA,2:20.546,Q
1,2,3,,153,HaraldsSILOVS,6458,LAT,2:20.603,Q
1,3,1,,117,MichaelGILDAY,6195,CAN,2:20.763,Q
1,4,2,,128,PaulHERRMANN,6803,GER,2:21.004,
1,5,5,,184,WANGHongYang,6084,CHN,2:21.163,
1,6,7,,129,AnthonyDOUGLAS,6301,GBR,2:24.368,
1,7,6,,169,AntonSIMON,6026,UKR,2:24.460,
