race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
0,1,1,,41,PatrycjaMALISZEWSKA,6154,POL,45.586,Q,
0,2,3,,48,NinaEVTEEVA,6511,RUS,46.353,Q,
0,3,4,,39,MaaikeVOS,7180,NED,46.514,q,
0,4,2,,9,DanielaIVANOVA,6303,BUL,46.652,,
1,1,4,,50,EkaterinaBELOVA,6190,RUS,46.264,Q,
1,2,3,,30,MartaCAPURSO,6328,ITA,47.528,Q,
1,3,1,,20,ChristinPRIEBST,6078,GER,48.229,,
1,4,2,,57,OlenaKORINCHUK,7252,UKR,48.609,,
2,2,3,,36,AnnitavanDOORN,6440,NED,46.263,Q,
2,3,1,,35,EvitaKRIEVANE,6833,LAT,46.368,q,
3,1,2,,14,CHRISTIEElise,7135,GBR,46.121,Q,
3,2,3,,1,VeronikaWINDISCH,6427,AUT,46.203,Q,
3,3,4,,43,AnnaROMANOWICZ,6027,POL,46.335,q,
3,4,1,,54,KristinaPAPP,6028,SRB,57.739,,
4,1,1,,7,EvgeniaRADANOVA,6775,BUL,46.380,Q,
4,2,3,,38,JorienterMORS,6146,NED,47.021,Q,
4,3,2,,58,SafiyaVLASOVA,7175,UKR,50.161,,
4,4,4,,2,YulyiaYELSAKOVA,6021,BLR,58.456,,
5,1,3,,49,ValeriyaREZNIK,6573,RUS,48.007,Q,
5,2,4,,34,KatiaZINI,6076,ITA,48.108,Q,
5,3,1,,28,ElenaKAPLAN,7236,ISR,48.370,,
5,4,2,,55,TatianaBODOVA,7250,SVK,49.763,,
6,1,3,,8,MarinaGEORGIEVA-NIKOLOVA,7097,BUL,46.464,Q,
6,2,2,,26,BernadettHEIDUM,6798,HUN,46.543,Q,
6,3,4,,19,SusanneRUDOLPH,6362,GER,46.629,q,
6,4,1,,47,KingaKOVACS,6953,ROU,47.262,,
7,1,4,,23,ErikaHUSZAR,6373,HUN,46.411,Q,
7,2,3,,46,KatalinKRISTO,6514,ROU,46.566,Q,
7,3,2,,3,VeraANTANENKA,7099,BLR,47.385,q,
7,4,1,,29,ValeriePOSTRIGAN,7295,ISR,51.702,,
8,1,3,,11,KaterinaNOVOTNA,6647,CZE,46.269,Q,
8,2,4,,12,PIERRONVeronique,6196,FRA,46.500,Q,
8,3,2,,56,RanyaEZZI,6840,SWE,47.976,q,
8,4,1,,53,TjasaKROFLIC,6838,SLO,54.248,,
