season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),w,RepSemifinals,1,1,1,,12,JessicaGREGG,6141,CAN,2:34.928,Q
2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),w,RepSemifinals,1,2,2,,59,ValeriyaREZNIK,6573,RUS,2:34.978,Q
2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),w,RepSemifinals,1,3,3,,48,SannevanKERKHOF,6835,NED,2:35.089,
2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),w,RepSemifinals,1,4,5,,4,DanielaIVANOVA,6303,BUL,2:35.701,
2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),w,RepSemifinals,1,5,4,,29,ElenaKAPLAN,7236,ISR,2:39.859,
2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),w,RepSemifinals,2,1,2,,40,MaiSHINKAI,7342,JPN,2:30.522,Q
2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),w,RepSemifinals,2,2,1,,23,CelineLECOMPERE,6556,FRA,2:30.560,Q
2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),w,RepSemifinals,2,3,3,,69,MaryGRACE,7187,USA,2:30.566,
2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),w,RepSemifinals,2,4,6,,64,LiaSTEPANOVA,6150,RUS,2:31.053,
2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),w,RepSemifinals,2,5,4,,26,HANYueshuang,6572,HKG,2:33.321,
2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),w,RepSemifinals,2,6,5,,44,DariyaVOLOKITINA,7344,KAZ,2:39.272,
2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),w,RepSemifinals,3,1,3,,19,KaterinaNOVOTNA,6647,CZE,2:34.219,Q
2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),w,RepSemifinals,3,2,5,,8,AnneMALTAIS,6355,CAN,2:34.564,Q
2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),w,RepSemifinals,3,3,2,,50,KarolinaREGUCKA,6914,POL,2:39.177,
2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),w,RepSemifinals,3,4,4,,42,InnaSIMONOVA,7241,KAZ,2:53.098,
2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),w,RepSemifinals,3,5,1,,6,GerganaPATSOVA,6794,BUL,3:19.873,
