season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),m,Heats,1,1,1,,111,SUIBaoKu,6416,CHN,1:32.632,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),m,Heats,1,2,2,,105,AlexBOISVERT-LACROIX,7346,CAN,1:32.739,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),m,Heats,1,3,4,,143,ShotaroTANAKA,7347,JPN,1:34.545,
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),m,Heats,1,DQ,3,,127,JonELEY,6592,GBR,DQ,
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),m,Heats,2,1,1,,165,KWAKYoon-Gy,6120,KOR,1:37.390,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),m,Heats,2,2,2,,118,ThibautFAUCONNET,6785,FRA,1:38.129,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),m,Heats,2,3,3,,129,TomIVESON,6898,GBR,1:38.224,
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),m,Heats,2,4,4,,116,CHENGEricI,6937,TPE,1:40.640,
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),m,Heats,3,1,4,,113,WEIJiguang,7155,CHN,1:33.518,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),m,Heats,3,2,1,,180,CharlesRyanLEVEILLE,7122,USA,1:33.833,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),m,Heats,3,3,2,,137,RobertoSERRA,6463,ITA,1:36.232,
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),m,Heats,3,4,3,,148,NurbergenZHUMAGAZIYEV,7349,KAZ,1:37.179,
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),m,Heats,4,1,3,,163,LEESeung-Hoon,6185,KOR,1:31.617,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),m,Heats,4,2,4,,106,HAMELINCharles,6610,CAN,1:31.737,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),m,Heats,4,3,2,,179,TravisJAYNER,6300,USA,1:33.307,
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),m,Heats,4,4,1,,135,ClaudioRINALDI,7261,ITA,1:33.379,
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),m,Heats,5,1,2,,109,Francois-LouisTREMBLAY,6704,CAN,1:32.482,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),m,Heats,5,2,1,,139,TakahiroFUJIMOTO,6277,JPN,1:32.598,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),m,Heats,5,3,4,,119,JeremyMASSON,6173,FRA,1:34.602,
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),m,Heats,5,DQ,3,,136,NicolaRODIGARI,6332,ITA,DQ,
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),m,Heats,6,1,2,,138,SatoruTERAO,6320,JPN,1:32.428,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),m,Heats,6,2,1,,130,PaulWORTH,6802,GBR,1:33.368,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),m,Heats,6,3,3,,151,NielsKERSTHOLT,7067,NED,1:33.404,
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),m,Heats,6,DQ,4,,167,EvgeniiKOZULIN,7272,RUS,DQ,
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),m,Heats,7,1,2,,164,SUNGSi-Bak,6811,KOR,1:32.328,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),m,Heats,7,2,5,,177,JordanMALONE,6201,USA,1:33.141,Q
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),m,Heats,7,3,1,,112,LIUXiaoLiang,6233,CHN,1:33.365,
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),m,Heats,7,4,3,,158,DariuszKULESZA,6817,POL,1:35.429,
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m(1),m,Heats,7,5,4,,120,BenoitANTERIEUX,6193,FRA,1:37.521,
