race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,1,,169,AlexanderGERTSIKOV,6570,RUS,2:22.988,Q
0,2,2,,140,JunjiITO,6579,JPN,2:23.105,Q
0,3,7,,123,PaulHERRMANN,6803,GER,2:23.527,Q
0,4,4,,124,SebastianPRAUS,6364,GER,2:24.706,
0,5,5,,152,KNEGTSjinkie,7352,NED,2:26.603,
0,6,3,,131,AnthonyDOUGLAS,6301,GBR,2:30.034,
0,DQ,6,,110,CHENXin,7358,CHN,DQ,
1,1,1,,122,TysonHEUNG,6240,GER,2:25.868,Q
1,2,5,,101,LachlanHAY,6845,AUS,2:25.947,Q
1,3,6,,128,PaulSTANLEY,7054,GBR,2:26.092,Q
1,4,4,,133,FabioCARTA,6001,ITA,2:26.235,
1,5,2,,153,RudyKOEK,7225,NED,2:26.384,
1,6,3,,103,AndrePULEC,6054,AUT,2:27.046,
