race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,3,,124,EkaterinaBELOVA,6190,RUS,45.110,Q
0,2,1,,82,SarahLINDSAY,6056,GBR,45.410,Q
0,3,4,,119,AidaPOPIOLEK,6683,POL,45.484,
0,4,2,,138,CarlyWILSON,6153,USA,1:10.824,
1,1,2,,65,TinaGRASSOW,6855,GER,45.641,Q
1,2,4,,113,MaaikeVOS,7180,NED,46.691,Q
1,3,1,,64,HeleneYANG,7484,FRA,50.308,
1,4,3,,13,JessicaGREGG,6141,CAN,1:33.826,
2,1,4,,101,SHINSae-Bom,7162,KOR,45.506,Q
2,2,2,,69,SusanneRUDOLPH,6362,GER,45.932,Q
2,3,3,,112,SannevanKERKHOF,6835,NED,46.037,
2,4,1,,128,OlgaMASKAIKINA,6685,RUS,46.055,
3,1,1,,100,PARKSeung-Hi,7164,KOR,44.378,Q
3,2,3,,135,LanaGEHRING,7254,USA,45.119,Q
3,3,4,,63,PIERRONVeronique,6196,FRA,45.259,q
3,4,2,,66,AikaKLEIN,6359,GER,46.119,
4,1,3,,12,EvgeniaRADANOVA,6775,BUL,45.298,Q
4,2,2,,83,AyukoITO,6791,JPN,45.395,Q
4,3,1,,20,TaniaVICENT,6662,CAN,45.445,q
4,4,4,,131,LiaSTEPANOVA,6150,RUS,47.703,
5,1,2,,31,FUTianYu,6650,CHN,44.761,Q
5,2,4,,19,ValerieLAMBERT,7132,CAN,45.094,Q
5,3,1,,9,MarinaGEORGIEVA-NIKOLOVA,7097,BUL,46.154,
5,4,3,,122,AnnaROMANOWICZ,6027,POL,47.460,
6,2,1,,3,TatianaBORODULINA,6684,AUS,44.336,Q
6,3,2,,86,YuiSAKAI,6229,JPN,45.337,q
7,1,4,,38,ZHAONannan,7150,CHN,45.132,Q
7,2,1,,111,AnnitavanDOORN,6440,NED,45.141,Q
7,3,3,,136,TinaKOENIG,7224,USA,45.242,q
7,4,2,,117,PatrycjaMALISZEWSKA,6154,POL,46.464,
