race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,2,,20,KaterinaNOVOTNA,6647,CZE,44.577,Q
0,2,3,,9,JessicaHEWITT,7548,CAN,44.618,Q
0,3,1,,52,SHINSae-Bom,7162,KOR,44.647,q
0,4,4,,57,SannevanKERKHOF,6835,NED,45.791,
1,1,1,,1,TatianaBORODULINA,6684,AUS,44.594,Q
1,2,3,,51,PARKSeung-Hi,7164,KOR,44.666,Q
1,3,2,,22,PIERRONVeronique,6196,FRA,44.816,q
1,4,4,,33,BernadettHEIDUM,6798,HUN,45.042,
2,1,1,,36,AriannaFONTANA,6227,ITA,44.724,Q
2,2,4,,46,YuiSAKAI,6229,JPN,44.855,Q
2,3,3,,3,MarinaGEORGIEVA-NIKOLOVA,7097,BUL,44.951,
2,4,2,,54,LiesbethMAUASAM,6444,NED,45.512,
3,1,1,,64,EkaterinaBELOVA,6190,RUS,44.901,Q
3,2,3,,24,SarahLINDSAY,6056,GBR,44.996,Q
3,3,2,,58,MaaikeVOS,7180,NED,45.079,
3,4,4,,31,RozsaDARAZS,6797,HUN,45.092,
4,1,2,,10,ValerieLAMBERT,7132,CAN,44.811,Q
4,2,1,,73,LanaGEHRING,7254,USA,44.855,Q
4,3,3,,34,ErikaHUSZAR,6373,HUN,44.970,
4,4,4,,2,YulyiaYELSAKOVA,6021,BLR,45.216,
5,1,2,,14,FUTianYu,6650,CHN,44.454,Q
5,2,1,,11,AnneMALTAIS,6355,CAN,44.715,Q
5,3,3,,75,JessicaKOOREMAN,7649,USA,45.152,
5,4,4,,59,AidaBELLA,7538,POL,46.759,
