race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,2,,60,PARKSeung-Hi,7164,KOR,1:33.430,Q
0,2,1,,40,YuiSAKAI,6229,JPN,1:33.564,Q
0,3,3,,22,PIERRONVeronique,6196,FRA,1:34.630,
0,4,4,,2,Alix-MyraANDERSON,7353,AUS,1:35.108,
1,1,3,,44,BibaSAKURAI,7240,JPN,1:36.889,Q
1,2,1,,4,EvgeniaRADANOVA,6775,BUL,1:36.962,Q
1,3,4,,25,SusanneRUDOLPH,6362,GER,1:37.495,
1,4,2,,23,SarahLINDSAY,6056,GBR,1:37.826,
2,1,1,,61,KatalinKRISTO,6514,ROU,1:35.440,Q
2,2,3,,41,AyukoITO,6791,JPN,1:35.501,Q
2,3,4,,3,VeronikaWINDISCH,6427,AUT,1:35.617,
2,4,2,,28,WALTERBianca,7232,GER,1:36.443,
3,1,2,,18,ZHAONannan,7150,CHN,1:34.121,Q
3,2,1,,67,NinaEVTEEVA,6511,RUS,1:34.133,Q
3,3,3,,36,LuciaPERETTI,7160,ITA,1:34.302,
3,4,4,,32,AndreaKESZLER,7147,HUN,1:34.479,
