season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(2),m,RepSemifinals,1,1,2,,141,NicolasBEAN,7541,ITA,2:24.386,QA
2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(2),m,RepSemifinals,1,2,3,,210,MarkJACKSON,6941,NZL,2:24.817,QA
2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(2),m,RepSemifinals,1,3,1,,133,TorstenKROEGER,7141,GER,2:24.910,QB
2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(2),m,RepSemifinals,1,4,4,,125,PaulSTANLEY,7054,GBR,2:25.190,QB
2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(2),m,RepSemifinals,1,DNS,5,,212,DariuszKULESZA,6817,POL,DNS,
2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(2),m,RepSemifinals,2,1,1,,204,NielsKERSTHOLT,7067,NED,2:21.188,QA
2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(2),m,RepSemifinals,2,2,2,,224,AlexanderGERTSIKOV,6570,RUS,2:21.214,QA
2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(2),m,RepSemifinals,2,3,4,,120,JeanCharlesMATTEI,6057,FRA,2:22.055,QB
2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(2),m,RepSemifinals,2,4,3,,201,RyosukeSAKAZUME,7542,JPN,2:22.314,QB
2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(2),m,RepSemifinals,2,5,5,,139,SubodhBalavantPATIL,6241,IND,2:41.123,
2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(2),m,RepSemifinals,3,1,1,,113,LIYe,6655,CHN,2:21.484,QA
2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(2),m,RepSemifinals,3,2,5,,219,KIMYong-Sung,7264,KOR,2:21.716,QA
2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(2),m,RepSemifinals,3,3,4,,129,AnthonyDOUGLAS,6301,GBR,2:21.814,QB
2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(2),m,RepSemifinals,3,4,3,,205,RudyKOEK,7225,NED,2:23.364,QB
2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(2),m,RepSemifinals,3,5,2,,102,JeremyBECK,7283,AUS,2:25.001,
