race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,2,,104,BenSOUTHEE,6203,AUS,45.000,Q
0,2,4,,232,WILLIAMSCorey,7561,NZL,45.648,Q
0,3,3,,149,SatoshiSAKASHITA,6183,JPN,57.716,
0,4,1,,145,RobertoSERRA,6463,ITA,1:01.178,
1,1,1,,117,SUIBaoKu,6416,CHN,43.404,Q
1,2,2,,105,AndrePULEC,6054,AUT,43.924,Q
1,3,3,,143,ClaudioRINALDI,7261,ITA,44.009,
1,4,4,,134,DennisWALZER,7144,GER,44.273,
2,1,1,,229,TravisJAYNER,6300,USA,43.566,Q
2,2,3,,128,PaulWORTH,6802,GBR,43.685,Q
2,3,4,,208,IngmarvanRIEL,6186,NED,43.728,q
2,4,2,,222,EvgeniiKOZULIN,7272,RUS,46.036,
3,1,1,,135,PeterDARAZS,6465,HUN,42.957,Q
3,2,2,,213,BartoszKONOPKO,7169,POL,42.995,Q
3,3,3,,207,BREEUWSMADaan,7218,NED,43.233,q
3,4,4,,211,ThomasPEARCE,7407,NZL,46.969,
4,1,1,,106,PieterGYSEL,6425,BEL,43.677,Q
4,2,3,,132,RobertBECKER,7258,GER,43.771,Q
4,3,4,,123,BenjaminMACE,7357,FRA,43.858,q
4,4,2,,225,SemenELISTRATOV,7293,RUS,44.287,
5,1,1,,121,StephanePERIER,7478,FRA,43.344,Q
5,2,2,,103,ElliottSHRIANE,6846,AUS,43.421,Q
5,3,3,,206,FreekvanderWART,7269,NED,43.909,q
5,4,4,,140,VGundmiRAGHAVENDRA,7562,IND,49.371,
