season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2010-2011,"2011 ISU European Championships, NED, Heerenveen",1000m,w,Quarterfinals,1,1,3,,45,OlgaBELYAKOVA,7112,RUS,1:33.710,Q,
2010-2011,"2011 ISU European Championships, NED, Heerenveen",1000m,w,Quarterfinals,1,2,2,,9,MarinaGEORGIEVA-NIKOLOVA,7097,BUL,1:33.772,Q,
2010-2011,"2011 ISU European Championships, NED, Heerenveen",1000m,w,Quarterfinals,1,3,4,,39,PatrycjaMALISZEWSKA,6154,POL,1:33.787,,
2010-2011,"2011 ISU European Championships, NED, Heerenveen",1000m,w,Quarterfinals,1,4,1,,25,SzandraLAJTOS,6339,HUN,1:33.821,,
2010-2011,"2011 ISU European Championships, NED, Heerenveen",1000m,w,Quarterfinals,2,2,2,,48,ValeriyaREZNIK,6573,RUS,1:35.577,Q,
2010-2011,"2011 ISU European Championships, NED, Heerenveen",1000m,w,Quarterfinals,2,3,1,,38,PaulaBZURA,7168,POL,1:36.213,,
2010-2011,"2011 ISU European Championships, NED, Heerenveen",1000m,w,Quarterfinals,2,4,4,,20,WALTERBianca,7232,GER,1:36.321,,
2010-2011,"2011 ISU European Championships, NED, Heerenveen",1000m,w,Quarterfinals,3,1,1,,16,CHRISTIEElise,7135,GBR,1:33.906,Q,
2010-2011,"2011 ISU European Championships, NED, Heerenveen",1000m,w,Quarterfinals,3,2,4,,18,ChristinPRIEBST,6078,GER,1:34.286,Q,
2010-2011,"2011 ISU European Championships, NED, Heerenveen",1000m,w,Quarterfinals,3,3,3,,22,BernadettHEIDUM,6798,HUN,1:35.208,ADV,
2010-2011,"2011 ISU European Championships, NED, Heerenveen",1000m,w,Quarterfinals,3,PEN,2,,37,JorienterMORS,6146,NED,PEN,,
2010-2011,"2011 ISU European Championships, NED, Heerenveen",1000m,w,Quarterfinals,4,1,2,,13,KaterinaNOVOTNA,6647,CZE,1:33.340,Q,
2010-2011,"2011 ISU European Championships, NED, Heerenveen",1000m,w,Quarterfinals,4,2,1,,34,AnnitavanDOORN,6440,NED,1:33.606,Q,
2010-2011,"2011 ISU European Championships, NED, Heerenveen",1000m,w,Quarterfinals,4,3,3,,23,ErikaHUSZAR,6373,HUN,1:33.691,,
2010-2011,"2011 ISU European Championships, NED, Heerenveen",1000m,w,Quarterfinals,4,4,4,,30,VIVIANIElena,7583,ITA,1:35.904,,
