season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",500m,m,Preliminaries,1,1,1,,47,BenceBERES,7438,HUN,42.963,Q,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",500m,m,Preliminaries,1,2,2,,56,MintoSEKAI,7931,JPN,43.212,Q,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",500m,m,Preliminaries,1,3,4,,3,PierreBODA,7588,AUS,43.525,,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",500m,m,Preliminaries,1,4,5,,13,SamvanSPEYBROECK,7887,BEL,43.957,,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",500m,m,Preliminaries,1,5,3,,1,KevinKUWADA,7964,ARG,1:01.910,,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",500m,m,Preliminaries,2,1,2,,22,PatrickDUFFY,7917,CAN,43.019,Q,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",500m,m,Preliminaries,2,2,5,,59,AydarBEKZHANOV,7623,KAZ,43.106,Q,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",500m,m,Preliminaries,2,3,4,,35,AlexisYANG,7921,FRA,44.031,,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",500m,m,Preliminaries,2,4,3,,37,SCHUBERTChristoph,7734,GER,44.414,,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",500m,m,Preliminaries,2,5,1,,2,LucasPAREDES,7965,ARG,52.697,,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",500m,m,Preliminaries,3,1,5,,57,HirokiYOKOYAMA,7932,JPN,44.165,Q,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",500m,m,Preliminaries,3,2,4,,31,MilosAPELTAUER,7896,CZE,45.165,Q,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",500m,m,Preliminaries,3,3,3,,38,FelixSPIEGL,7923,GER,45.398,,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",500m,m,Preliminaries,3,4,2,,43,BillySIMMS,7926,GBR,45.753,,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",500m,m,Preliminaries,3,5,1,,18,OlasIVANOV,7914,BUL,50.439,,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",500m,m,Preliminaries,4,1,2,,25,WUDajing,7729,CHN,43.045,Q,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",500m,m,Preliminaries,4,2,5,,12,MathiasVOSTE,7888,BEL,44.072,Q,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",500m,m,Preliminaries,4,3,3,,45,LUIPanToBarton,7551,HKG,44.632,,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",500m,m,Preliminaries,4,4,4,,9,MaksimSIARHEYU,7771,BLR,45.690,,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",500m,m,Preliminaries,4,5,1,,86,MatusSUROVEC,7946,SVK,46.297,,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",500m,m,Preliminaries,5,1,3,,33,LEPAPESebastien,7554,FRA,43.023,Q,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",500m,m,Preliminaries,5,2,1,,94,JamesRODOWSKY,7953,USA,43.605,Q,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",500m,m,Preliminaries,5,3,5,,30,SmogarDARKO,7919,CRO,48.018,,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",500m,m,Preliminaries,5,4,2,,80,StefanANGHEL,7891,ROU,48.082,,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",500m,m,Preliminaries,5,PEN,4,,6,ArmstrongLAZENBY,7968,AUS,PEN,,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",500m,m,Preliminaries,6,1,1,,76,LEEHyoBeen,7941,KOR,43.307,Q,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",500m,m,Preliminaries,6,2,5,,92,John-HenryKRUEGER,7763,USA,43.887,Q,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",500m,m,Preliminaries,6,3,4,,54,FrancescoPALLA,7930,ITA,45.248,,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",500m,m,Preliminaries,6,4,2,,87,AlexanderDYKSTROEMBERG,7947,SWE,46.610,,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",500m,m,Preliminaries,6,5,3,,29,JakovDOMITREK,7145,CRO,46.658,,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",500m,m,Preliminaries,7,1,1,,93,ColeKRUEGER,7762,USA,44.671,Q,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",500m,m,Preliminaries,7,2,5,,66,ChristiaanBOKKERINK,7611,NED,44.714,Q,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",500m,m,Preliminaries,7,3,4,,10,ArtsiomPATUTKIN,7655,BLR,47.458,,
