season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),w,RepFinalA,1,1,1,,39,HitomiSAITO,7576,JPN,2:30.702,Q
2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),w,RepFinalA,1,2,4,,26,ErikaHUSZAR,6373,HUN,2:30.820,Q
2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),w,RepFinalA,1,3,6,,27,RozsaDARAZS,6797,HUN,2:31.265,Q
2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),w,RepFinalA,1,4,3,,49,PatrycjaMALISZEWSKA,6154,POL,2:39.236,ADV
2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),w,RepFinalA,1,5,2,,18,JuliaRIEDEL,6287,GER,2:52.498,
2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),w,RepFinalA,1,PEN,5,,64,MorganIZYKOWSKI,7720,USA,PEN,
2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),w,RepFinalA,1,,10,,44,JorienterMORS,6146,NED,,
2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),w,RepFinalA,1,,12,,60,LanaGEHRING,7254,USA,,
2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),w,RepFinalA,1,,14,,4,ValerieMALTAIS,6216,CAN,,
2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),w,RepFinalA,1,,16,,29,AriannaFONTANA,6227,ITA,,
2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),w,RepFinalA,1,,18,,14,LINMeng,7697,CHN,,
