race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,4,,170,TravisJAYNER,6300,USA,1:29.597,Q
0,2,1,,107,GuillaumeBASTILLE,6166,CAN,1:29.694,Q
0,3,2,,145,AydarBEKZHANOV,7623,KAZ,1:29.832,q
0,4,3,,132,MatteoCOMPAGNONI,7441,ITA,1:31.483,
1,1,2,,103,HAMELINCharles,6610,CAN,1:26.729,Q
1,2,3,,173,KyleCARR,6134,USA,1:27.424,Q
1,3,1,,116,VojtechLOUDIN,7597,CZE,1:27.844,q
2,1,2,,111,LIUXianwei,6307,CHN,1:27.443,Q
2,2,3,YC,118,MaximeCHATAIGNIER,6106,FRA,1:27.772,Q
2,3,1,,156,KoenHAKKENBERG,7610,NED,1:29.161,q
2,DNS,4,,101,MatthiasSTELZMUELLER,7181,AUT,DNS,
3,1,2,,150,HaraldsSILOVS,6458,LAT,1:28.899,Q
3,2,4,YC,142,WATANABEKeita,7605,JPN,1:29.825,Q
3,3,3,,158,JakubJAWORSKI,6816,POL,1:29.845,q
3,4,1,,134,DOTTITommaso,7604,ITA,2:04.659,
4,1,4,,152,KNEGTSjinkie,7352,NED,1:30.007,Q
4,2,3,,113,YUYongjun,7824,CHN,1:30.334,Q
4,3,1,,129,JackWHELBOURNE,7437,GBR,1:30.358,q
4,4,2,,161,AlexanderGERTSIKOV,6570,RUS,1:30.578,
5,1,4,,171,AnthonyLOBELLO,6958,USA,1:29.596,Q
5,2,1,,128,AnthonyDOUGLAS,6301,GBR,1:29.799,Q
5,3,3,,175,DmytroPOLTAVETS,7221,UKR,1:30.969,
5,4,2,,148,AZHGALIYEVAbzal,7685,KAZ,1:30.970,
6,1,1,,138,YuzoTAKAMIDO,7158,JPN,1:27.298,Q
6,2,2,,108,MaximeFORTIN,7137,CAN,1:27.632,Q
6,3,3,,163,RuslanZAKHAROV,6935,RUS,1:27.973,q
6,4,4,,149,FedorANDREYEV,7745,KAZ,1:30.799,
7,2,3,,125,HannesKROEGER,7142,GER,1:29.803,Q
7,3,1,,174,IevgenGUTENOV,7178,UKR,1:30.905,
8,1,1,,139,YumaSAKURAI,6182,JPN,1:30.059,Q
8,2,4,,162,ViacheslavKURGINIAN,6934,RUS,1:30.221,Q
8,3,3,,123,RobertBECKER,7258,GER,1:30.648,q
8,4,2,,178,ViktorKOROLOV,7177,UKR,1:33.233,
9,1,3,,110,SONGWeilong,7156,CHN,1:30.038,Q
9,2,2,,153,NielsKERSTHOLT,7067,NED,1:30.244,Q
9,3,1,,135,EdoardoREGGIANI,7161,ITA,1:30.313,q
9,4,4,,122,DanielZETZSCHE,7436,GER,1:30.890,
