race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,1,,56,NinaEVTEEVA,6511,RUS,1:37.840,Q
0,2,2,,38,VIVIANIElena,7583,ITA,1:38.174,Q
0,3,3,,55,PaulaBZURA,7168,POL,1:39.407,
0,4,4,,62,DuyguKAN,7769,TUR,1:46.236,
1,1,2,,42,YasukoSAKASHITA,6189,JPN,1:37.625,Q
1,2,1,,23,JuliaRIEDEL,6287,GER,1:37.746,Q
1,3,4,,5,KarynaHRYSCHANKA,7881,BLR,1:46.400,
1,4,3,,9,RayaZAHARIEVA,7410,BUL,1:58.870,
2,1,1,,14,Marie-AndreeMENDES-CAMPEAU,7412,CAN,1:37.510,Q
2,2,2,,61,EkaterinaBARANOK,7822,RUS,1:38.154,Q
2,3,3,,36,CeciliaMAFFEI,6559,ITA,1:38.325,q
3,1,1,,11,Marie-EveDROLET,6059,CAN,1:38.370,Q
3,2,3,,28,CharlotteGILMARTIN,7136,GBR,1:38.579,Q
3,3,2,,31,RozsaDARAZS,6797,HUN,1:38.703,
3,4,4,,4,LiudmilaTSARYKAVA,7880,BLR,1:43.603,
4,1,4,,12,JessicaHEWITT,7548,CAN,1:36.057,Q
4,2,2,,65,SafiyaVLASOVA,7175,UKR,1:36.539,Q
4,3,1,,22,ChristinPRIEBST,6078,GER,1:36.831,q
4,4,3,,6,NatalliaTSAULIKA,7907,BLR,1:46.976,
