race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,2,,18,XIAOHan,7962,CHN,2:28.325,Q
0,2,5,,26,AriannaFONTANA,6227,ITA,2:28.518,Q
0,3,1,,25,BernadettHEIDUM,6798,HUN,2:29.439,Q
0,4,4,,9,AndreaDO-DUC,6215,CAN,2:29.701,
0,5,6,,41,vanKERKHOFYara,7422,NED,2:31.422,
0,6,3,,2,DeannaLOCKETT,7956,AUS,3:12.738,
1,1,6,,56,KatherineREUTTER-ADAMEK,7255,USA,2:30.740,Q
1,2,5,,20,LINMeng,7697,CHN,2:30.861,Q
1,3,1,,24,WANGXinyue,7340,HKG,2:30.998,Q
1,4,4,,4,VeronikaWINDISCH,6427,AUT,2:31.083,
1,5,3,,50,EkaterinaBARANOK,7822,RUS,2:31.260,
1,6,2,,7,GerganaPATSOVA,6794,BUL,2:35.397,
2,1,6,,54,LanaGEHRING,7254,USA,2:32.487,Q
2,2,5,,31,AyukoITO,6791,JPN,2:32.932,Q
2,3,2,,44,LEEEunByul,7421,KOR,2:32.954,Q
2,4,3,,22,CHRISTIEElise,7135,GBR,2:33.717,
2,5,1,,3,Alix-MyraANDERSON,7353,AUS,2:38.100,
2,6,4,,6,KristinaVUTEVA,6060,BUL,2:55.441,
3,2,4,,17,LIJianrou,7910,CHN,2:29.863,Q
3,3,5,,49,OlgaBELYAKOVA,7112,RUS,2:30.198,Q
3,4,6,,10,SabrinaBOURGELA,7691,CAN,2:30.714,
3,5,2,,34,MarieYOSHIDA,7417,JPN,2:33.052,
3,6,3,,37,XeniyaMOTOVA,7343,KAZ,2:33.454,
4,1,3,,58,EmilySCOTT,7823,USA,2:37.540,Q
4,2,1,,36,HitomiSAITO,7576,JPN,2:37.629,Q
4,3,5,,45,KIMDamMin,7842,KOR,2:37.716,Q
4,4,6,,11,VanessaBELANGER-MARCEAU,8057,CAN,2:37.757,
4,5,2,,27,CeciliaMAFFEI,6559,ITA,2:37.864,
4,6,4,,51,YuliaKICHAPOVA,7714,RUS,2:39.551,
