season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,RepHeats,1,1,2,,471,NielsKERSTHOLT,7067,NED,2:19.653,Q
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,RepHeats,1,2,1,,481,ViacheslavKURGINIAN,6934,RUS,2:19.777,Q
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,RepHeats,1,3,5,,436,RichardSHOEBRIDGE,7825,GBR,2:20.021,q
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,RepHeats,1,4,3,,402,PierreBODA,7588,AUS,2:20.288,
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,RepHeats,1,5,4,,443,KonradNAGY,7601,HUN,2:22.864,
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,RepHeats,2,1,1,,483,RuslanZAKHAROV,6935,RUS,2:16.440,Q
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,RepHeats,2,2,2,,445,BYKANOVVladislav,6178,ISR,2:16.711,Q
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,RepHeats,2,3,3,,406,MatthiasSTELZMUELLER,7181,AUT,2:23.294,ADV
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,RepHeats,2,4,5,,401,JoseIgnacioFAZIO,7844,ARG,2:26.928,
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,RepHeats,2,PEN,4,,441,CsabaBURJAN,7738,HUN,PEN,
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,RepHeats,3,1,4,,404,LachlanHAY,6845,AUS,2:21.065,Q
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,RepHeats,3,2,5,,458,AslanDAUMOV,6119,KAZ,2:21.917,Q
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,RepHeats,3,3,1,,411,GabrielCHIASSON-POIRIER,8037,CAN,2:40.376,ADV
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,RepHeats,3,4,2,,468,ChristiaanBOKKERINK,7611,NED,2:43.326,ADV
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,RepHeats,3,PEN,3,,429,RobertBECKER,7258,GER,PEN,
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,RepHeats,4,1,2,,455,DaisukeUEMURA,6118,JPN,2:21.288,Q
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,RepHeats,4,2,1,,424,MaximeCHATAIGNIER,6106,FRA,2:21.438,Q
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,RepHeats,4,3,3,,433,ChristophMILZ,6175,GER,2:21.947,
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,RepHeats,4,4,6,,409,TsvetanTSANKOV,7431,BUL,2:24.024,
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,RepHeats,4,5,5,,474,AdamFILIPOWICZ,6156,POL,2:28.139,
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,RepHeats,4,6,4,,447,MatteoCOMPAGNONI,7441,ITA,2:48.217,
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,RepHeats,5,1,4,,425,ThibaultCROLET,7920,FRA,2:20.043,Q
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,RepHeats,5,2,1,,477,DawidRZEMIENIECKI,7879,POL,2:20.114,Q
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,RepHeats,5,3,3,,457,FedorANDREYEV,7745,KAZ,2:20.258,q
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,RepHeats,5,4,2,,438,IanUPCOTT,7257,GBR,2:20.259,
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,RepHeats,5,5,5,,410,AsenYORDANOV,6851,BUL,2:26.207,
