race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
0,1,2,,160,KNEGTSjinkie,7352,NED,42.009,Q,
0,2,1,,123,PaulSTANLEY,7054,GBR,42.159,Q,
0,3,4,,103,MathiasVOSTE,7888,BEL,42.805,,
0,4,3,,156,SAULITISJekabs,7267,LAT,44.837,,
1,1,2,,153,NOHJinkyu,7749,KOR,41.942,Q,
1,2,1,,174,BLACKBURNMackenzie,7434,TPE,42.284,Q,
1,3,4,,102,PierreBODA,7588,AUS,42.891,,
1,4,3,,104,NihadBASIC,7889,BIH,1:10.385,,
2,1,3,,170,VladimirGRIGOREV,7826,RUS,41.613,Q,
2,2,4,,142,YuzoTAKAMIDO,7158,JPN,42.738,Q,
2,3,2,,120,AlvaroPENA,7791,ESP,45.882,,
2,4,1,,118,BorenZUNAC,6170,CRO,46.096,,
3,1,2,,144,RyosukeSAKAZUME,7542,JPN,42.524,Q,
3,2,3,,138,BYKANOVVladislav,6178,ISR,43.978,Q,
3,3,4,,127,PaulHERRMANN,6803,GER,44.047,,
3,4,1,,130,LUIPanToBarton,7551,HKG,44.817,,
4,1,2,,180,J.R.CELSKI,7279,USA,41.987,Q,
4,2,3,,140,DOTTITommaso,7604,ITA,43.797,Q,
4,3,4,,176,IevgenGUTENOV,7178,UKR,44.109,,
4,4,1,,154,KIMYun-Jae,7443,KOR,44.523,,
5,1,4,,111,HAMELINCharles,6610,CAN,41.423,Q,
5,2,2,,135,ViktorKNOCH,6177,HUN,41.716,Q,
5,3,3,,164,BlakeSKJELLERUP,6549,NZL,43.924,,
5,4,1,,177,ValentynDANILOVSKYI,7895,UKR,44.433,,
6,1,3,,114,LIANGWenhao,7594,CHN,41.337,Q,
6,2,1,,121,JonELEY,6592,GBR,41.574,Q,
6,4,4,,101,JoseIgnacioFAZIO,7844,ARG,46.574,,
7,1,4,,110,MichaelGILDAY,6195,CAN,41.978,Q,
7,2,2,,126,RobertSEIFERT,6176,GER,42.083,Q,
7,3,3,,165,BartoszKONOPKO,7169,POL,42.119,,
7,4,1,,119,VojtechLOUDIN,7597,CZE,44.084,,
8,1,2,,162,FreekvanderWART,7269,NED,41.827,Q,
8,2,4,,117,WUDajing,7729,CHN,41.906,Q,
8,3,1,,106,KirilPANDOV,6779,BUL,44.180,,
8,PEN,3,,105,MaksimSIARHEYU,7771,BLR,PEN,,
9,1,2,,181,ChrisCREVELING,8440,USA,42.583,Q,
9,2,4,,139,CONFORTOLAYuri,6561,ITA,42.731,Q,
9,3,1,,173,JoseCAVALLI,7756,SUI,44.432,,
9,4,3,,171,LucasNG,8067,SGP,47.262,,
10,1,2,,159,NielsKERSTHOLT,7067,NED,42.491,Q,
10,2,4,,167,VictorAN,8344,RUS,43.166,Q,
10,3,3,,137,ShaolinSandorLIU,7928,HUN,43.913,,
10,4,1,,157,RobertoPUKITIS,7785,LAT,1:11.105,,
11,1,3,,108,OlivierJEAN,6756,CAN,41.574,Q,
11,2,4,,169,SemenELISTRATOV,7293,RUS,41.862,Q,
11,3,1,,175,SelimTANRIKULU,7760,TUR,44.218,,
11,4,2,,172,MiodragPOPOVIC,6244,SRB,47.810,,
