season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Heats,1,1,2,,99,HAMELINCharles,6610,CAN,2:17.047,Q
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Heats,1,2,3,,157,NOHJinkyu,7749,KOR,2:17.130,Q
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Heats,1,3,4,,191,ChrisCREVELING,8440,USA,2:17.271,Q
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Heats,1,4,5,,115,LEPAPESebastien,7554,FRA,2:17.530,
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Heats,1,5,1,,143,YumaSAKURAI,6182,JPN,2:19.167,
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Heats,2,1,1,,144,YuzoTAKAMIDO,7158,JPN,2:14.273,Q
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Heats,2,2,2,,178,RuslanZAKHAROV,6935,RUS,2:14.404,Q
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Heats,2,3,5,,159,RobertoPUKITIS,7785,LAT,2:15.707,Q
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Heats,2,4,3,,96,GuillaumeBASTILLE,6166,CAN,2:16.193,ADV
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Heats,2,PEN,4,,105,HANTianyu,8388,CHN,PEN,
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Heats,3,1,1,,154,KIMYun-Jae,7443,KOR,2:15.944,Q
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Heats,3,2,4,,173,VictorAN,8344,RUS,2:16.043,Q
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Heats,3,3,2,,164,KNEGTSjinkie,7352,NED,2:16.091,Q
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Heats,3,4,5,,192,TravisJAYNER,6300,USA,2:16.701,
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Heats,3,5,3,,110,VojtechLOUDIN,7597,CZE,2:21.289,
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Heats,4,1,1,,155,KWAKYoon-Gy,6120,KOR,2:18.902,Q
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Heats,4,2,2,,111,MaximeCHATAIGNIER,6106,FRA,2:19.194,Q
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Heats,4,3,5,,174,SemenELISTRATOV,7293,RUS,2:19.486,Q
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Heats,4,4,4,,103,CHENDequan,7918,CHN,2:19.688,
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Heats,4,5,3,,93,LachlanHAY,6845,AUS,2:20.312,
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Heats,5,1,2,,98,MichaelGILDAY,6195,CAN,2:13.019,Q
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Heats,5,2,1,,189,KyleCARR,6134,USA,2:13.063,Q
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Heats,5,3,3,,108,YUYongjun,7824,CHN,2:13.386,Q
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Heats,5,4,4,,121,IanUPCOTT,7257,GBR,2:14.759,
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Heats,5,5,5,,131,KonradNAGY,7601,HUN,2:15.287,
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Heats,5,6,6,,127,DanielZETZSCHE,7436,GER,2:17.690,
