season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",500m,m,Preliminaries,1,1,2,,165,NielsKERSTHOLT,7067,NED,41.342,Q
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",500m,m,Preliminaries,1,2,3,,128,PaulSTANLEY,7054,GBR,41.608,Q
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",500m,m,Preliminaries,1,3,1,,148,DavideVISCARDI,7440,ITA,42.283,
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",500m,m,Preliminaries,1,4,4,,183,ValentynDANILOVSKYI,7895,UKR,42.520,
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",500m,m,Preliminaries,2,1,2,,113,LIANGWenhao,7594,CHN,41.170,Q
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",500m,m,Preliminaries,2,2,1,,174,EvgeniiKOZULIN,7272,RUS,41.689,Q
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",500m,m,Preliminaries,2,3,4,,150,TakayukiMURATAKE,7442,JPN,41.800,q
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",500m,m,Preliminaries,2,4,5,,135,SCHUBERTChristoph,7734,GER,44.661,
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",500m,m,Preliminaries,2,5,3,,143,SubodhBalavantPATIL,6241,IND,51.544,
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",500m,m,Preliminaries,3,1,2,,156,KIMByeongJun,7287,KOR,41.263,Q
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",500m,m,Preliminaries,3,2,3,,111,FrancoisHAMELIN,6167,CAN,41.579,Q
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",500m,m,Preliminaries,3,3,4,,140,ShaolinSandorLIU,7928,HUN,42.146,q
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",500m,m,Preliminaries,3,4,1,,101,PierreBODA,7588,AUS,42.681,
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",500m,m,Preliminaries,4,1,1,,133,RobertSEIFERT,6176,GER,42.257,Q
