season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",500m,w,RepHeats,1,1,3,,50,vanKERKHOFYara,7422,NED,46.840,Q
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",500m,w,RepHeats,1,2,1,,24,RozsaDARAZS,6797,HUN,47.063,Q
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",500m,w,RepHeats,1,3,2,,59,SafiyaVLASOVA,7175,UKR,48.038,ADV
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",500m,w,RepHeats,1,PEN,4,,22,TinaGRASSOW,6855,GER,PEN,
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",500m,w,RepHeats,2,1,1,,20,CharlotteGILMARTIN,7136,GBR,45.068,Q
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",500m,w,RepHeats,2,2,4,,56,LiaSTEPANOVA,6150,RUS,45.109,Q
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",500m,w,RepHeats,2,3,2,,28,SzandraLAJTOS,6339,HUN,45.164,
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",500m,w,RepHeats,2,4,3,,4,VeraANTANENKA,7099,BLR,45.380,
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",500m,w,RepHeats,3,1,1,,23,WANGXinyue,7340,HKG,45.793,Q
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",500m,w,RepHeats,3,2,2,,32,VIVIANIElena,7583,ITA,46.027,Q
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",500m,w,RepHeats,3,3,3,,57,EkaterinaSTRELKOVA,8378,RUS,46.189,
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",500m,w,RepHeats,4,1,1,,54,TatianaBORODULINA,7483,RUS,44.877,Q
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",500m,w,RepHeats,4,2,2,,1,JulieJUNG,7838,AUS,44.935,Q
2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",500m,w,RepHeats,4,3,3,,5,MarinaGEORGIEVA-NIKOLOVA,7097,BUL,45.294,
