race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,3,,214,VictorAN,8344,RUS,41.019,Q
0,2,2,,128,OlivierJEAN,6756,CAN,41.043,Q
0,3,1,,198,BREEUWSMADaan,7218,NED,41.195,
0,4,4,,221,BLACKBURNMackenzie,7434,TPE,41.560,
1,1,3,,137,LIANGWenhao,7594,CHN,41.302,Q
1,2,1,,192,PARKSeYeong,7750,KOR,41.318,Q
1,3,4,,180,SatoshiSAKASHITA,6183,JPN,41.475,
1,4,2,,154,JonELEY,6592,GBR,1:09.359,
2,1,2,,138,WUDajing,7729,CHN,41.230,Q
2,2,4,,187,AydarBEKZHANOV,7623,KAZ,41.466,Q
2,3,3,,234,EduardoALVAREZ,7617,USA,41.548,
3,1,1,,215,VladimirGRIGOREV,7826,RUS,40.972,Q
3,2,3,,132,CharleCOURNOYER,8063,CAN,41.087,Q
3,3,2,,233,JeffSIMON,7280,USA,41.213,
3,4,4,,171,BYKANOVVladislav,6178,ISR,47.065,
