race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,1,,68,JorienterMORS,6146,NED,43.633,Q
0,2,2,,54,SayuriSHIMIZU,7544,JPN,43.881,Q
0,3,3,,93,EmilySCOTT,7823,USA,44.776,
0,4,4,,28,MONVOISINAurelie,8556,FRA,46.514,
1,1,1,,33,CHRISTIEElise,7135,GBR,43.535,Q
1,2,2,,55,AyukoITO,6791,JPN,43.918,Q
1,3,3,,94,SarahCHEN,7722,USA,44.552,q
1,4,4,,25,KaterinaNOVOTNA,6647,CZE,46.300,
2,1,1,,63,SHIMSukHee,8092,KOR,43.367,Q
2,2,2,,74,PatrycjaMALISZEWSKA,6154,POL,44.400,Q
2,3,3,,67,AgneSEREIKAITE,7708,LTU,44.456,q
2,4,4,,42,BernadettHEIDUM,6798,HUN,45.408,
3,1,1,,14,JessicaHEWITT,7548,CAN,43.948,Q
3,2,2,,51,VALCEPINAMartina,7159,ITA,44.135,Q
3,3,4,,58,InnaSIMONOVA,7241,KAZ,44.208,q
3,4,3,,7,TALAYEVAVolha,6792,BLR,46.326,
4,1,2,,82,PROSVIRNOVASofia,8509,RUS,44.771,Q
4,2,1,,48,VIVIANIElena,7583,ITA,44.892,Q
4,3,4,,34,TinaGRASSOW,6855,GER,45.838,
4,4,3,,59,XeniyaMOTOVA,7343,KAZ,59.644,
5,1,1,,15,MarianneST-GELAIS,7216,CAN,43.930,Q
5,2,2,,27,PIERRONVeronique,6196,FRA,43.980,Q
5,3,3,,72,vanRUIJVENLara,7710,NED,44.063,q
5,4,4,,32,THOMSONKathryn,8465,GBR,45.960,
6,1,1,,81,TatianaBORODULINA,7483,RUS,43.932,Q
6,2,2,,49,AriannaFONTANA,6227,ITA,43.959,Q
6,3,4,,73,AidaBELLA,7538,POL,45.163,
6,4,3,,89,OlenaKORINCHUK,7252,UKR,45.228,
7,2,4,,98,AlysonDUDEK,7290,USA,44.083,Q
7,3,2,,40,AndreaKESZLER,7147,HUN,44.194,q
7,4,3,,38,WALTERBianca,7232,GER,45.788,
8,1,1,,20,WANGMeng,6594,CHN,43.610,Q
8,2,2,,64,CHOHa-Ri,7028,KOR,44.294,Q
8,3,3,,57,BibaSAKURAI,7240,JPN,44.341,q
8,4,4,,76,MALISZEWSKANatalia,8437,POL,46.172,
9,1,2,,61,PARKSeung-Hi,7164,KOR,43.300,Q
9,2,1,,16,JessicaGREGG,6141,CAN,43.324,Q
9,3,3,,31,CharlotteGILMARTIN,7136,GBR,44.803,
9,4,4,,85,LiaSTEPANOVA,6150,RUS,45.117,
10,1,1,,19,LIUQiuhong,6286,CHN,44.081,Q
10,2,2,,69,vanKERKHOFYara,7422,NED,44.130,Q
10,3,4,,43,KONYAZsofia,7701,HUN,44.779,
10,4,3,,35,AnnaSEIDEL,8562,GER,45.698,
