season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Pre-Preliminaries,1,1,3,,41,AriannaFONTANA,6227,ITA,1:33.188,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Pre-Preliminaries,1,2,2,,72,TatianaBORODULINA,7483,RUS,1:33.339,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Pre-Preliminaries,1,3,1,,47,SayuriSHIMIZU,7544,JPN,1:33.427,q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Pre-Preliminaries,1,4,4,,71,TundeBALAZS,7883,ROU,1:36.737,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Pre-Preliminaries,2,1,3,,58,KIMAlang,8484,KOR,1:32.891,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Pre-Preliminaries,2,2,1,,56,JorienterMORS,6146,NED,1:32.954,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Pre-Preliminaries,2,3,2,,83,AlysonDUDEK,7290,USA,1:33.073,q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Pre-Preliminaries,2,4,4,,4,VeraANTANENKA,7099,BLR,1:35.040,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Pre-Preliminaries,3,1,3,,21,CHRISTIEElise,7135,GBR,1:34.992,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Pre-Preliminaries,3,2,2,,2,Alix-MyraANDERSON,7353,AUS,1:36.973,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Pre-Preliminaries,3,3,1,,66,AidaBELLA,7538,POL,1:37.029,q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Pre-Preliminaries,4,1,3,,15,LIJianrou,7910,CHN,1:34.231,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Pre-Preliminaries,4,2,1,,57,vanKERKHOFYara,7422,NED,1:34.312,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Pre-Preliminaries,4,3,2,,36,AndreaKESZLER,7147,HUN,1:35.582,q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Pre-Preliminaries,4,4,4,,52,DariyaVOLOKITINA,7344,KAZ,1:36.998,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Pre-Preliminaries,5,1,3,,76,ValeriyaREZNIK,6573,RUS,1:40.539,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Pre-Preliminaries,5,2,2,,86,LanaGEHRING,7254,USA,1:40.627,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Pre-Preliminaries,5,3,1,,28,WALTERBianca,7232,GER,1:40.903,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Pre-Preliminaries,5,4,4,,79,RanyaEZZI,6840,SWE,1:41.666,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Pre-Preliminaries,6,1,2,,11,ValerieMALTAIS,6216,CAN,1:32.193,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Pre-Preliminaries,6,2,3,,84,EmilySCOTT,7823,USA,1:32.266,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Pre-Preliminaries,6,3,4,,23,CharlotteGILMARTIN,7136,GBR,1:32.365,q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Pre-Preliminaries,6,4,1,,29,TinaGRASSOW,6855,GER,1:32.544,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Pre-Preliminaries,7,1,4,,48,AyukoITO,6791,JPN,1:36.864,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Pre-Preliminaries,7,2,3,,9,JessicaGREGG,6141,CAN,1:36.991,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Pre-Preliminaries,7,3,2,,20,MONVOISINAurelie,8556,FRA,1:37.350,q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Pre-Preliminaries,7,4,1,,64,EvitaKRIEVANE,6833,LAT,1:39.740,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Pre-Preliminaries,8,1,1,,16,ZHOUYang,6222,CHN,1:32.706,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Pre-Preliminaries,8,2,4,,74,OlgaBELYAKOVA,7112,RUS,1:32.800,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Pre-Preliminaries,8,3,3,,32,BernadettHEIDUM,6798,HUN,1:32.924,q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Pre-Preliminaries,8,4,2,,80,SafiyaVLASOVA,7175,UKR,1:36.616,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Pre-Preliminaries,9,1,1,,14,WANGMeng,6594,CHN,1:36.788,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Pre-Preliminaries,9,2,3,,37,VIVIANIElena,7583,ITA,1:37.513,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Pre-Preliminaries,9,3,2,,5,TALAYEVAVolha,6792,BLR,1:38.550,q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Pre-Preliminaries,9,4,4,,70,PatrycjaMALISZEWSKA,6154,POL,1:58.564,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Pre-Preliminaries,10,1,1,,8,MarianneST-GELAIS,7216,CAN,1:36.529,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Pre-Preliminaries,10,2,4,,19,PIERRONVeronique,6196,FRA,1:36.727,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Pre-Preliminaries,10,3,2,,50,InnaSIMONOVA,7241,KAZ,1:36.873,q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Pre-Preliminaries,10,4,3,,78,TatianaBODOVA,7250,SVK,1:38.603,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Pre-Preliminaries,11,1,1,,63,PARKSeung-Hi,7164,KOR,1:40.772,Q
