season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Quarterfinals,1,1,2,,14,WANGMeng,6594,CHN,1:31.468,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Quarterfinals,1,2,1,,58,KIMAlang,8484,KOR,1:31.510,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Quarterfinals,1,3,3,,72,TatianaBORODULINA,7483,RUS,1:31.579,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Quarterfinals,1,4,4,,18,KaterinaNOVOTNA,6647,CZE,1:32.023,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Quarterfinals,2,1,3,,15,LIJianrou,7910,CHN,1:31.847,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Quarterfinals,2,2,4,,8,MarianneST-GELAIS,7216,CAN,1:32.044,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Quarterfinals,2,3,1,,48,AyukoITO,6791,JPN,1:32.328,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Quarterfinals,2,4,2,,37,VIVIANIElena,7583,ITA,1:33.715,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Quarterfinals,3,1,2,,21,CHRISTIEElise,7135,GBR,1:30.659,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Quarterfinals,3,2,3,,41,AriannaFONTANA,6227,ITA,1:30.752,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Quarterfinals,3,3,1,,65,AgneSEREIKAITE,7708,LTU,1:30.829,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Quarterfinals,3,4,4,,53,deVRIESRianne,8333,NED,1:30.933,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Quarterfinals,4,1,1,,60,SHIMSukHee,8092,KOR,1:31.160,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Quarterfinals,4,2,2,,16,ZHOUYang,6222,CHN,1:31.226,Q
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Quarterfinals,4,3,3,,39,VALCEPINAMartina,7159,ITA,1:31.477,
2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1000m,w,Quarterfinals,4,4,4,,9,JessicaGREGG,6141,CAN,1:31.484,
