race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,1,,5,MarianneST-GELAIS,7216,CAN,43.558,Q
0,2,2,,38,JEONJi-Soo,6232,KOR,43.595,Q
0,3,3,,27,VIVIANIElena,7583,ITA,43.695,
0,4,4,,31,HitomiSAITO,7576,JPN,44.891,
1,1,1,,52,PROSVIRNOVASofia,8509,RUS,43.626,Q
1,2,4,,26,VALCEPINAArianna,7705,ITA,43.908,Q
1,3,2,,8,LINYue,8548,CHN,59.539,ADV
1,PEN,3,,44,vanKERKHOFYara,7422,NED,PEN,
2,2,2,,3,KasandraBRADETTE,8058,CAN,42.869,Q
2,3,3,,47,PatrycjaMALISZEWSKA,6154,POL,43.411,
2,4,4,,29,KIKUCHISumire,7980,JPN,44.268,
3,1,2,,16,CHRISTIEElise,7135,GBR,43.013,Q
3,2,1,,42,SHIMSukHee,8092,KOR,43.080,Q
3,3,4,,50,MALAGICHEmina,7989,RUS,43.382,
3,4,3,,9,LIUYang,7414,CHN,1:06.452,
