season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,w,RepSemifinals,1,1,5,,30,KIKUCHIMoemi,7584,JPN,2:34.100,Q
2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,w,RepSemifinals,1,2,2,,58,EkaterinaSTRELKOVA,8378,RUS,2:34.944,ADV
2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,w,RepSemifinals,1,3,3,,66,KimberlyGOETZ,8649,USA,2:35.166,
2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,w,RepSemifinals,1,4,1,,64,SafiyaVLASOVA,7175,UKR,2:39.918,
2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,w,RepSemifinals,1,PEN,4,,68,EmilySCOTT,7823,USA,PEN,
2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,w,RepSemifinals,2,1,1,,15,HUOTMARCHANDTifany,7976,FRA,2:32.238,Q
2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,w,RepSemifinals,2,2,3,,65,TamaraFREDERICK,8062,USA,2:33.056,
2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,w,RepSemifinals,2,3,4,,16,LouiseMILESI,8668,FRA,2:37.277,
2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,w,RepSemifinals,2,4,2,,38,TIKHONOVAOlga,8621,KAZ,2:51.627,ADV
2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,w,RepSemifinals,2,PEN,5,,47,SCHULTINGSuzanne,8493,NED,PEN,
2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,w,RepSemifinals,3,1,4,,5,JoanieGERVAIS,8543,CAN,2:42.514,Q
2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,w,RepSemifinals,3,2,5,,21,BernadettHEIDUM,6798,HUN,2:42.727,
2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,w,RepSemifinals,3,3,2,,51,MALISZEWSKANatalia,8437,POL,2:42.858,
2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,w,RepSemifinals,3,4,1,,25,LuciaPERETTI,7160,ITA,2:43.474,
2014-2015,ISU World Cup 2014/15 - Montreal (CAN),1500m,w,RepSemifinals,3,5,3,,49,OliwiaGAWLICA,8501,POL,2:46.585,
