season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2014-2015,ISU World Cup 2014/15 - Montreal (CAN),500m(2),w,RepHeats,1,1,3,,4,KasandraBRADETTE,8058,CAN,45.002,Q
2014-2015,ISU World Cup 2014/15 - Montreal (CAN),500m(2),w,RepHeats,1,2,1,,46,deVRIESRianne,8333,NED,45.424,Q
2014-2015,ISU World Cup 2014/15 - Montreal (CAN),500m(2),w,RepHeats,1,3,2,,67,KatherineRALSTON,7991,USA,45.882,
2014-2015,ISU World Cup 2014/15 - Montreal (CAN),500m(2),w,RepHeats,1,4,4,,49,OliwiaGAWLICA,8501,POL,46.877,
2014-2015,ISU World Cup 2014/15 - Montreal (CAN),500m(2),w,RepHeats,2,1,1,,29,VIVIANIElena,7583,ITA,45.017,Q
2014-2015,ISU World Cup 2014/15 - Montreal (CAN),500m(2),w,RepHeats,2,2,2,,37,AnastassiyaKRESTOVA,7981,KAZ,45.119,Q
2014-2015,ISU World Cup 2014/15 - Montreal (CAN),500m(2),w,RepHeats,2,3,3,,66,KimberlyGOETZ,8649,USA,45.287,
2014-2015,ISU World Cup 2014/15 - Montreal (CAN),500m(2),w,RepHeats,3,1,1,,54,MartaWOJCIK,7578,POL,46.004,Q
2014-2015,ISU World Cup 2014/15 - Montreal (CAN),500m(2),w,RepHeats,3,2,3,,35,HitomiSAITO,7576,JPN,46.033,Q
2014-2015,ISU World Cup 2014/15 - Montreal (CAN),500m(2),w,RepHeats,3,3,2,,17,MONVOISINAurelie,8556,FRA,46.086,
2014-2015,ISU World Cup 2014/15 - Montreal (CAN),500m(2),w,RepHeats,3,4,4,,62,RanyaEZZI,6840,SWE,46.212,
2014-2015,ISU World Cup 2014/15 - Montreal (CAN),500m(2),w,RepHeats,4,1,1,,31,KIKUCHISumire,7980,JPN,45.641,Q
2014-2015,ISU World Cup 2014/15 - Montreal (CAN),500m(2),w,RepHeats,4,2,2,,64,SafiyaVLASOVA,7175,UKR,46.897,Q
2014-2015,ISU World Cup 2014/15 - Montreal (CAN),500m(2),w,RepHeats,4,3,3,,16,LouiseMILESI,8668,FRA,47.100,
