race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,2,,43,CHOIMinJeong,8625,KOR,2:35.450,QA
0,2,5,,36,HitomiSAITO,7576,JPN,2:36.016,QA
0,3,3,,32,KIKUCHIMoemi,7584,JPN,2:36.064,QB
0,4,6,,9,JoanieGERVAIS,8543,CAN,2:36.076,QB
0,5,4,,24,BernadettHEIDUM,6798,HUN,2:37.152,
0,PEN,1,,18,TAOJiaying,8667,CHN,PEN,
1,2,6,,15,LIHongshuang,8677,CHN,2:36.248,QA
1,3,1,,20,AnnaSEIDEL,8562,GER,2:36.382,QB
1,4,5,,51,deVRIESRianne,8333,NED,2:37.441,QB
1,5,4,,61,ZAKHAROVAEvgeniya,7715,RUS,2:38.534,
1,6,2,,53,MALISZEWSKANatalia,8437,POL,2:40.396,
2,1,1,,14,HANYuTong,8365,CHN,2:29.454,QA
2,2,3,,1,DeannaLOCKETT,7956,AUS,2:30.872,QA
2,3,4,,8,KasandraBRADETTE,8058,CAN,2:31.095,QB
2,4,2,,60,EkaterinaSTRELKOVA,8378,RUS,2:32.289,QB
2,5,6,,62,TamaraFREDERICK,8062,USA,2:34.282,
2,PEN,5,,47,NOHDoHee,7986,KOR,PEN,
