race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,3,,411,NETHERLANDS,7321,NED,6:52.025,Q
0,2,4,,408,JAPAN,7310,JPN,6:52.207,Q
0,3,1,,412,RUSSIA,7307,RUS,6:53.455,
0,4,2,,407,ITALY,7301,ITA,6:53.617,
1,1,2,,404,CHINA,7303,CHN,6:41.851,Q
1,2,1,,414,UNITEDSTATES,7306,USA,6:44.812,Q
1,3,4,,406,HUNGARY,7324,HUN,6:45.650,q
1,4,3,,402,BULGARIA,7392,BUL,7:01.943,
2,2,4,,403,CANADA,7309,CAN,6:43.103,Q
2,3,1,,409,KAZAKHSTAN,7356,KAZ,6:45.618,q
2,4,3,,405,GERMANY,7302,GER,6:55.708,
