season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),500m(2),m,Quarterfinals,1,1,1,,126,KWAKYoon-Gy,6120,KOR,41.508,Q
2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),500m(2),m,Quarterfinals,1,3,3,,116,SatoshiSAKASHITA,6183,JPN,45.742,
2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),500m(2),m,Quarterfinals,1,4,2,,82,CharleCOURNOYER,8063,CAN,1:01.672,
2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),500m(2),m,Quarterfinals,1,5,4,,132,deLAATItzhak,7746,NED,notime,
2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),500m(2),m,Quarterfinals,2,1,1,,93,ZHANGHongchao,8678,CHN,41.476,Q
2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),500m(2),m,Quarterfinals,2,2,4,,150,KeithCARROLL,8449,USA,42.499,Q
2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),500m(2),m,Quarterfinals,2,3,3,,145,DmitryMYASNIKOV,7616,RUS,50.675,ADV
2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),500m(2),m,Quarterfinals,2,4,2,,83,PatrickDUFFY,7917,CAN,1:05.845,
2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),500m(2),m,Quarterfinals,3,1,3,,125,HANSeungSoo,8673,KOR,41.262,Q
2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),500m(2),m,Quarterfinals,3,2,1,,91,SHIJingnan,7728,CHN,41.385,Q
2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),500m(2),m,Quarterfinals,3,3,4,,115,KeiSAITO,8068,JPN,41.505,
2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),500m(2),m,Quarterfinals,3,4,2,,119,AZHGALIYEVAbzal,7685,KAZ,41.887,
2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),500m(2),m,Quarterfinals,4,1,1,,152,John-HenryKRUEGER,7763,USA,41.105,Q
2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),500m(2),m,Quarterfinals,4,2,4,,87,WilliamPREUDHOMME,8545,CAN,41.322,Q
2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),500m(2),m,Quarterfinals,4,3,2,,101,ViktorKNOCH,6177,HUN,41.361,ADV
2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),500m(2),m,Quarterfinals,4,PEN,3,,121,NIKISHADenis,8396,KAZ,PEN,
