race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
0,1,2,,80,VincentJEANNE,7890,FRA,2:23.794,Q,
0,2,5,,69,SCHUBERTChristoph,7734,GER,2:24.061,Q,
0,3,1,,145,KlaudioNASRI,8540,BUL,2:24.150,q,
0,4,3,,187,JacobJANSSON,8589,SWE,2:27.608,,
0,5,6,,165,TomassBAKEVICS,8489,LAT,2:29.699,,
0,6,4,,190,OliverRINGER,8755,SVK,2:32.311,,
1,2,5,,20,FreekvanderWART,7269,NED,2:22.881,Q,
1,3,2,,48,ShaoangLIU,8564,HUN,2:22.901,q,
1,4,4,,36,FiratYARDIMCI,8520,TUR,2:24.608,,
1,5,1,,158,FelixSPIEGL,7923,GER,2:25.051,,
1,6,6,,138,JoseCAVALLI,7756,SUI,2:30.223,,
2,1,1,,18,LEPAPESebastien,7554,FRA,2:39.500,Q,
2,2,4,,131,ArtemKOZLOV,8638,RUS,2:39.583,Q,
2,3,3,,89,DESMETStijn,8706,BEL,2:39.896,,
2,4,2,,171,BartoszKONOPKO,7169,POL,2:41.059,ADV,
2,5,5,,38,KOLENCMartin,8604,CRO,2:44.132,,
2,PEN,6,,26,DOTTITommaso,7604,ITA,PEN,,
3,1,6,,12,BREEUWSMADaan,7218,NED,2:20.881,Q,
3,2,5,,14,ViktorKNOCH,6177,HUN,2:20.988,Q,
3,3,2,,111,MenderesEREN,8351,TUR,2:21.873,q,
3,4,4,,40,GEORGIEVDimitar,8541,BUL,2:27.074,,
3,5,1,,188,BorLukaURLEP,8753,SLO,2:27.968,,
3,6,3,,189,IvanMOJSILOVIC,8640,SRB,2:34.652,,
4,1,5,,16,JackWHELBOURNE,7437,GBR,2:36.205,Q,
4,2,3,,139,FabriceDUFBERGSUH,8642,SWE,2:44.358,Q,
4,3,1,,183,RogerVALLVERDUIMBERNON,8704,ESP,2:50.215,,
4,4,6,,119,YauheniRYZHOU,7772,BLR,2:57.535,ADV,
4,5,4,,27,DmitryMIGUNOV,7755,RUS,3:01.858,,
4,6,2,,175,HANDEIVolodymyr,8525,UKR,3:12.639,ADV,
5,1,4,,102,JensALMEY,8595,BEL,2:32.171,Q,
5,2,1,,153,ANIKEJRafal,8749,POL,2:32.289,Q,
5,3,5,,154,TREACYFarrell,8392,GBR,2:32.325,,
5,4,2,,21,CONFORTOLAYuri,6561,ITA,2:33.242,,
5,5,3,,41,SerhiyLIFYRENKO,6826,UKR,2:36.481,,
5,6,6,,182,NihadBASIC,7889,BIH,2:44.348,,
6,1,6,,1,KNEGTSjinkie,7352,NED,2:20.862,Q,
6,2,5,,6,ShaolinSandorLIU,7928,HUN,2:21.061,Q,
6,3,4,,37,MaksimSIARHEYU,7771,BLR,2:24.160,q,
6,4,3,,157,EdinBRANKOVIC,7256,BIH,2:24.184,,
6,5,1,,170,EinarAGDESTEIN,8701,NOR,2:26.545,,
6,6,2,,191,PhilemonRAINER,8594,AUT,2:34.379,,
