season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),500m,m,Heats,1,1,3,,2,PARKSeYeong,7750,KOR,41.228,Q
2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),500m,m,Heats,1,2,2,,16,JackWHELBOURNE,7437,GBR,41.329,Q
2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),500m,m,Heats,1,3,1,,116,FrancoisHAMELIN,6167,CAN,41.570,q
2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),500m,m,Heats,1,4,4,,106,CsabaBURJAN,7738,HUN,41.777,
2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),500m,m,Heats,2,1,1,,166,SONGHaochen,9165,CHN,41.830,Q
2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),500m,m,Heats,2,2,2,,86,PaulSTANLEY,7054,GBR,41.940,Q
2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),500m,m,Heats,2,3,4,,175,AydarBEKZHANOV,7623,KAZ,42.174,
2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),500m,m,Heats,2,4,3,,181,ANIKEJRafal,8749,POL,42.218,
2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),500m,m,Heats,3,1,2,,44,VladimirGRIGOREV,7826,RUS,41.529,Q
2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),500m,m,Heats,3,2,1,,18,LEPAPESebastien,7554,FRA,41.552,Q
2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),500m,m,Heats,3,3,4,,52,deLAATItzhak,7746,NED,41.738,
2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),500m,m,Heats,3,4,3,,71,AZHGALIYEVAbzal,7685,KAZ,42.036,
2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),500m,m,Heats,4,1,2,,192,ChrisCREVELING,8440,USA,41.571,Q
2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),500m,m,Heats,4,2,3,,131,ArtemKOZLOV,8638,RUS,41.592,Q
2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),500m,m,Heats,4,3,1,,176,KIMJoonChun,8399,KOR,41.604,q
2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),500m,m,Heats,4,4,4,,91,OLAHBence,7439,HUN,41.804,
2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),500m,m,Heats,5,1,2,,45,KWAKYoon-Gy,6120,KOR,41.229,Q
2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),500m,m,Heats,5,2,1,,14,ViktorKNOCH,6177,HUN,41.529,Q
2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),500m,m,Heats,5,3,4,,24,PatrickDUFFY,7917,CAN,41.689,
2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),500m,m,Heats,5,4,3,,187,BLACKBURNMackenzie,7434,TPE,42.888,
2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),500m,m,Heats,6,1,1,,27,DmitryMIGUNOV,7755,RUS,41.199,Q
2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),500m,m,Heats,6,2,2,,20,FreekvanderWART,7269,NED,41.288,Q
2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),500m,m,Heats,6,3,3,,60,HironobuMURATAKE,8671,JPN,41.662,
2015-2016,ISU World Cup 2015/16 - Dordrecht (NED),500m,m,Heats,6,4,4,,172,GIORDANOMarco,8616,ITA,42.135,
