race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,2,,17,JonELEY,6592,GBR,1:31.265,Q
0,2,1,,74,CASSINELLIAndrea,7741,ITA,1:31.344,Q
0,3,3,,59,YoshiakiOGURO,7743,JPN,1:31.483,q
0,4,4,,91,OLAHBence,7439,HUN,1:31.700,
1,1,4,,148,CharleCOURNOYER,8063,CAN,1:26.550,Q
1,2,3,,2,PARKSeYeong,7750,KOR,1:26.856,Q
1,3,2,,31,TorstenKROEGER,7141,GER,1:27.509,q
1,4,1,,33,PierreBODA,7588,AUS,1:28.150,
1,5,5,,161,AydarBEKZHANOV,7623,KAZ,notime,
2,1,4,,27,DmitryMIGUNOV,7755,RUS,1:31.324,Q
2,2,1,,75,SatoshiSAKASHITA,6183,JPN,1:31.842,Q
2,3,3,,32,JUNGHyunWoo(Andy),8575,AUS,1:32.538,
2,4,2,,26,DOTTITommaso,7604,ITA,1:57.436,
3,1,1,,151,FERCOQQuentin,8605,FRA,1:33.168,Q
3,2,4,,138,JoseCAVALLI,7756,SUI,1:33.897,Q
3,3,3,,60,HironobuMURATAKE,8671,JPN,1:34.043,ADV
3,PEN,2,,178,GIORDANOMarco,8616,ITA,PEN,
